mh MH MA MC la2 laL la1 la3 la4 la5
1.2510000000e+02 3.6356182949e+02 4.6326849946e+02 4.9735987936e+02 3.6368502571e+00 -2.1400295967e-01 2.5860945866e-01 3.5929124257e+00 -2.4446227896e+00 -1.3622925958e+00
1.2510000000e+02 7.2842828804e+01 8.9189378447e+01 7.9581368123e+01 3.4291042904e+00 -2.4070563322e-01 2.5860945866e-01 -2.0676034786e-01 9.8227680474e-03 -4.3768053400e-02
1.2510000000e+02 8.1340593524e+02 8.2900752721e+02 8.9920309205e+02 1.7175972074e+00 1.9996560180e+00 2.5860945866e-01 6.8557927509e+00 -4.4327071491e+00 -4.2342958378e-01
1.2510000000e+02 4.9581049810e+02 6.0369437870e+02 5.9125764357e+02 3.9238696105e+00 4.5138656115e-01 2.5860945866e-01 3.8804813809e+00 -1.4689710037e+00 -1.9601238160e+00
1.2510000000e+02 1.9769214212e+02 2.3449368342e+02 2.2884420683e+02 3.1737019343e+00 1.6219341303e+00 2.5860945866e-01 2.0610737941e+00 -1.7631488175e-01 -2.6282478202e-01
1.2510000000e+02 3.4617410485e+01 1.3342852229e+02 1.5111230345e+02 5.9125647528e-01 -2.1973332186e-01 2.5860945866e-01 4.9533585470e-01 -4.4068214748e-01 -2.7438702908e-01
1.2510000000e+02 3.4924781350e+02 4.4909289109e+02 4.7831461114e+02 1.0333784305e+00 1.3211339549e+00 2.5860945866e-01 4.8511369953e+00 -2.2128242845e+00 -1.3171787559e+00
1.2510000000e+02 5.9229145070e+02 6.2688176272e+02 6.5774314799e+02 7.6093597641e-01 -1.6644281153e-01 2.5860945866e-01 2.5375325390e+00 -2.0071087059e+00 -6.9686664470e-01
1.2510000000e+02 6.6491541834e+02 8.3163395691e+02 8.3190778298e+02 8.4220684302e-01 1.7275689691e+00 2.5860945866e-01 9.9884601657e+00 -4.1379728819e+00 -4.1229183147e+00
1.2510000000e+02 9.4210352229e+02 9.5444951811e+02 9.8651653604e+02 3.1799790716e+00 1.5080948808e+00 2.5860945866e-01 4.3389438854e+00 -2.4439292492e+00 -3.8691975537e-01
1.2510000000e+02 4.2802370462e+02 6.2577322121e+02 6.2204856031e+02 4.4310701913e-01 1.4583243537e+00 2.5860945866e-01 8.1917541796e+00 -3.2899135216e+00 -3.4435163042e+00
1.2510000000e+02 6.9071717772e+01 1.3520726771e+02 1.1933181608e+02 3.9483512646e+00 -4.4824598021e-01 2.5860945866e-01 -1.3529799511e-01 -8.9699537644e-02 -2.2324844745e-01
1.2510000000e+02 3.1208426695e+01 2.4738705039e+02 2.5639885411e+02 2.8619135769e+00 -1.1010499978e-01 2.5860945866e-01 2.0303671561e+00 -1.1452578852e+00 -9.9521427070e-01
1.2510000000e+02 8.8656263764e+02 9.0689215931e+02 9.4062399270e+02 3.3952072733e+00 -6.6912827598e-01 2.5860945866e-01 2.5954690267e+00 -2.6621107178e+00 -6.0248658484e-01
1.2510000000e+02 6.3364495481e+00 2.7863952407e+02 2.8358549680e+02 3.8700445270e+00 -2.3336402000e-01 2.5860945866e-01 2.4231428014e+00 -1.3742040621e+00 -1.2823027593e+00
1.2510000000e+02 1.8562609681e+02 2.4056228943e+02 2.8098137346e+02 2.5260743170e+00 5.9399428368e-01 2.5860945866e-01 2.0644643879e+00 -1.0835779224e+00 -3.8689218187e-01
1.2510000000e+02 7.3389450258e+02 8.7604236407e+02 8.8368211258e+02 2.8448072414e+00 -3.9125573716e-01 2.5860945866e-01 7.6163103673e+00 -4.2259367381e+00 -3.7816293663e+00
1.2510000000e+02 1.4347820913e+02 2.0091651621e+02 2.4605155949e+02 3.5617295742e+00 -8.0617540516e-01 2.5860945866e-01 5.1431416567e-01 -9.9360990282e-01 -3.2687966801e-01
1.2510000000e+02 1.0230326610e+02 3.1359507124e+02 3.3117559184e+02 2.3133547806e+00 8.4886315461e-01 2.5860945866e-01 4.1277088937e+00 -1.8267353806e+00 -1.4521103585e+00
1.2510000000e+02 5.3010043918e+02 5.9425396889e+02 5.6621748701e+02 2.5901299953e+00 1.1771372517e+00 2.5860945866e-01 2.4857421488e+00 -1.1666716304e-01 -1.1919377341e+00
1.2510000000e+02 6.5235745417e+02 7.3456158422e+02 7.2351861399e+02 2.6045176497e+00 3.5689635100e-02 2.5860945866e-01 3.2714929529e+00 -1.3518309303e+00 -1.8839723875e+00
1.2510000000e+02 6.3384107460e+02 7.5242444222e+02 7.8080223526e+02 6.7485227276e-01 9.9112990021e-01 2.5860945866e-01 7.8619615062e+00 -4.1543924262e+00 -2.7164391797e+00
1.2510000000e+02 3.0460781017e+02 3.3981697506e+02 3.8912913558e+02 2.4067568195e+00 8.6678818919e-01 2.5860945866e-01 2.8046415217e+00 -1.5629168113e+00 -3.7493652127e-01
1.2510000000e+02 6.7001191760e+02 7.3500989523e+02 6.8694224349e+02 1.6891647482e+00 6.3767413160e-01 2.5860945866e-01 1.3969337047e+00 7.4982193184e-01 -1.5090815050e+00
1.2510000000e+02 2.7409220690e+02 3.0119375237e+02 2.9716907292e+02 3.7175808317e+00 1.7164482793e+00 2.5860945866e-01 2.1521320659e+00 -1.7804715190e-01 -2.5763663468e-01
1.2510000000e+02 1.2478277754e+02 4.7438040552e+02 4.8848051555e+02 1.5988994996e+00 -4.6812465867e-01 2.5860945866e-01 6.9032307679e+00 -3.9100224308e+00 -3.4613329958e+00
1.2510000000e+02 1.7623564965e+02 3.7168107319e+02 3.7348969582e+02 3.0526785628e+00 -8.8469874650e-01 2.5860945866e-01 2.6989997358e+00 -1.8141199253e+00 -1.7695785570e+00
1.2510000000e+02 8.6576224995e+02 8.9486530609e+02 8.9093188824e+02 3.3997447491e+00 1.6454612063e+00 2.5860945866e-01 3.1067394154e+00 -6.1456589151e-01 -8.4671231759e-01
1.2510000000e+02 8.8907064643e+02 9.3386121506e+02 9.6907997438e+02 2.6517240601e+00 1.5870546974e+00 2.5860945866e-01 6.5004456159e+00 -3.5641584072e+00 -1.3492325112e+00
1.2510000000e+02 9.2162771661e+02 9.8386650186e+02 9.4484430809e+02 3.8996435268e+00 -2.8833024174e-01 2.5860945866e-01 1.1437908013e+00 5.2761928139e-01 -1.9597403245e+00
1.2510000000e+02 4.0624322388e+02 4.3108492992e+02 4.9363235935e+02 1.3249536744e+00 -4.4962251724e-01 2.5860945866e-01 2.1493380636e+00 -2.2552389228e+00 -3.4372165807e-01
1.2510000000e+02 7.8091446609e+02 9.0719498125e+02 9.3651887917e+02 1.3668310501e+00 1.1398291248e+00 2.5860945866e-01 9.9718804068e+00 -5.3094237016e+00 -3.5226275805e+00
1.2510000000e+02 5.5446553484e+02 7.6314935009e+02 7.7773835973e+02 2.4928286729e+00 3.1406828524e-01 2.5860945866e-01 1.0144358683e+01 -5.2866176303e+00 -4.5436727679e+00
1.2510000000e+02 3.2740914543e+02 5.6030459755e+02 5.6411456559e+02 3.2713073884e+00 1.0505683786e+00 2.5860945866e-01 8.0248725164e+00 -3.5579432823e+00 -3.4163608554e+00
1.2510000000e+02 4.1192913001e+02 4.8075922396e+02 5.2645398117e+02 1.4631280828e+00 2.4706364042e-01 2.5860945866e-01 3.7987916508e+00 -2.5363961432e+00 -1.0153318672e+00
1.2510000000e+02 3.0382353637e+02 3.7141328238e+02 4.1468221607e+02 1.9959180455e+00 9.9622754903e-01 2.5860945866e-01 3.6286751356e+00 -1.8782819928e+00 -7.5416559382e-01
1.2510000000e+02 3.2007251960e+02 3.6252657925e+02 3.7090775191e+02 1.0033750472e-01 6.2154805559e-01 2.5860945866e-01 1.7824358413e+00 -6.8202099248e-01 -4.7886679326e-01
1.2510000000e+02 1.8724771020e+02 2.0481841469e+02 2.1671090652e+02 3.9111497417e+00 -9.4449808052e-01 2.5860945866e-01 -5.5115046894e-01 -2.7951196444e-01 -1.1383564714e-01
1.2510000000e+02 2.8338165772e+02 3.4051609149e+02 2.9013165158e+02 4.1279706161e+00 -3.4874478693e-01 2.5860945866e-01 -2.2080469438e-01 4.6109494994e-01 -5.8903504249e-01
1.2510000000e+02 1.6357577480e+02 2.4039328203e+02 1.7288894280e+02 2.3934373304e+00 -4.7962998438e-01 2.5860945866e-01 -3.7606886203e-01 4.0922716413e-01 -5.1278828649e-01
1.2510000000e+02 7.3954761200e+02 7.5085988801e+02 7.8820863833e+02 5.7438795142e-02 9.2350508827e-01 2.5860945866e-01 3.3804482808e+00 -2.1783408228e+00 -2.7860236971e-01
1.2510000000e+02 3.1917034835e+02 5.7292367996e+02 5.7803970045e+02 2.0979395834e+00 5.7373175425e-01 2.5860945866e-01 8.2497243524e+00 -3.9352987024e+00 -3.7406938958e+00
1.2510000000e+02 8.3407970272e+02 9.6530596959e+02 9.7065700475e+02 2.6778730686e+00 1.1048003698e+00 2.5860945866e-01 9.2509458647e+00 -4.2442573258e+00 -3.9018881691e+00
1.2510000000e+02 2.2933824399e+02 3.6885973825e+02 3.6838564457e+02 8.4079175438e-01 1.9378942360e+00 2.5860945866e-01 4.6846703933e+00 -1.3676123602e+00 -1.3791637971e+00
1.2510000000e+02 2.8598647285e+02 3.9988196224e+02 3.8622826425e+02 2.3383162868e-01 1.2248990609e-01 2.5860945866e-01 2.3494715126e+00 -9.3612759971e-01 -1.2908540068e+00
1.2510000000e+02 7.0488167530e+02 8.4903242860e+02 8.6136381423e+02 3.5269073577e+00 1.8706979121e+00 2.5860945866e-01 9.9706861560e+00 -4.3985227036e+00 -3.7014655402e+00
1.2510000000e+02 7.5510235629e+02 7.6662522943e+02 8.2580081904e+02 7.6984829036e-01 7.9843816472e-02 2.5860945866e-01 3.7736578242e+00 -3.4040613156e+00 -2.8975269222e-01
1.2510000000e+02 3.1298984783e+02 3.7753547344e+02 3.9758788641e+02 1.9475291660e-01 3.4366701933e-01 2.5860945866e-01 2.3303641762e+00 -1.2501912930e+00 -7.3650586387e-01
1.2510000000e+02 7.7571871980e+02 8.4153371807e+02 8.2956125628e+02 5.1109829231e-02 1.0841432900e+00 2.5860945866e-01 3.9406554742e+00 -1.0976473154e+00 -1.7588648688e+00
1.2510000000e+02 6.0216924615e+02 7.4996928735e+02 7.8100390189e+02 3.1214633196e+00 2.8741697394e-01 2.5860945866e-01 8.4624217251e+00 -4.8726362709e+00 -3.3023684802e+00
1.2510000000e+02 6.6129640701e+02 6.6301084259e+02 6.9667119068e+02 2.3382121396e+00 -2.9141410197e-02 2.5860945866e-01 1.5584655035e+00 -1.5500889108e+00 -3.7518002859e-02
1.2510000000e+02 8.8457761215e+02 9.5582611185e+02 9.9919009175e+02 2.1069156293e+00 -1.6201867194e-01 2.5860945866e-01 6.9733930386e+00 -4.9686127785e+00 -2.1667989321e+00
1.2510000000e+02 1.8590782178e+02 4.8107894213e+02 4.8219819899e+02 2.8023688135e+00 4.7008198648e-01 2.5860945866e-01 7.0122653731e+00 -3.2889077181e+00 -3.2532756686e+00
1.2510000000e+02 4.9407859531e+02 5.1551888733e+02 5.0585316099e+02 3.5378036344e+00 9.0762277970e-02 2.5860945866e-01 4.7987464967e-01 -3.1420771963e-02 -3.5769159974e-01
1.2510000000e+02 3.2544129698e+02 5.3661536697e+02 5.5343086390e+02 3.2859438962e+00 1.6641520002e+00 2.5860945866e-01 8.2863240979e+00 -3.6139756821e+00 -3.0081964156e+00
1.2510000000e+02 9.1636540203e+02 9.3948948967e+02 9.6578096083e+02 1.1995415246e+00 2.8528772356e-01 2.5860945866e-01 3.3590967745e+00 -2.3646585591e+00 -7.0915049188e-01
1.2510000000e+02 2.1400486288e+02 4.6041009511e+02 4.8094619363e+02 3.5127960764e+00 -4.0661417398e-02 2.5860945866e-01 6.0903174918e+00 -3.3849386167e+00 -2.7460402925e+00
1.2510000000e+02 6.9912760775e+02 7.2858481374e+02 7.1683700728e+02 3.6818000168e+00 1.8434183869e+00 2.5860945866e-01 2.6721540299e+00 -1.3377201528e-01 -6.9496362774e-01
1.2510000000e+02 3.1467907047e+02 3.5668677365e+02 4.1064022637e+02 4.2328688903e-01 1.8383691751e+00 2.5860945866e-01 4.1386691988e+00 -1.8342656343e+00 -4.6603438935e-01
1.2510000000e+02 1.6330294726e+02 1.8530358340e+02 2.1706992014e+02 1.1372929207e+00 -5.8054453984e-03 2.5860945866e-01 6.7009836989e-01 -5.4916765563e-01 -1.2673615966e-01
1.2510000000e+02 6.3034631915e+02 7.4626101003e+02 7.7071050233e+02 3.9035200411e+00 1.8221830715e+00 2.5860945866e-01 8.3215616268e+00 -3.8625715452e+00 -2.6368070100e+00
1.2510000000e+02 4.8657502120e+02 7.7060542512e+02 7.6887827136e+02 3.7470582041e+00 -8.7036298163e-01 2.5860945866e-01 1.0842854842e+01 -5.8126713572e+00 -5.9005464664e+00
1.2510000000e+02 5.7499644388e+02 7.2723861695e+02 7.3027170591e+02 3.1539074463e+00 -7.1487120494e-01 2.5860945866e-01 5.9833855858e+00 -3.4221794641e+00 -3.2760773266e+00
1.2510000000e+02 1.4900282303e+02 2.8508675518e+02 2.8269626583e+02 3.4149113044e+00 -8.1412853185e-01 2.5860945866e-01 1.0933120604e+00 -9.3129185962e-01 -9.7614873266e-01
1.2510000000e+02 1.2914127024e+02 4.7862302465e+02 4.8677206377e+02 2.5948440814e+00 -2.9658765466e-01 2.5860945866e-01 6.9831259545e+00 -3.7698561823e+00 -3.5098574269e+00
1.2510000000e+02 1.1803457913e+02 1.5117162629e+02 1.3458779318e+02 1.1366973012e+00 4.7836209250e-01 2.5860945866e-01 6.1656396315e-01 9.2087104360e-03 -1.4741058109e-01
1.2510000000e+02 9.4302210677e+02 9.6937313110e+02 9.5199007120e+02 1.0937789955e+00 -2.3715963206e-01 2.5860945866e-01 3.2449023890e-01 2.7108152971e-01 -8.3273140066e-01
1.2510000000e+02 7.0839480040e+02 7.7125271436e+02 7.5883793942e+02 1.5389542879e+00 -2.8552009175e-01 2.5860945866e-01 2.1605049288e+00 -9.0911649749e-01 -1.5369085230e+00
1.2510000000e+02 8.6454522264e+02 9.3131403623e+02 9.7759195308e+02 1.5625461589e+00 4.4085107298e-01 2.5860945866e-01 7.3232486121e+00 -4.9009811849e+00 -1.9814163542e+00
1.2510000000e+02 1.9104766401e+02 6.1890414411e+02 6.2796602210e+02 1.7451788696e+00 -3.0584384254e-01 2.5860945866e-01 1.1520519928e+01 -6.0998925952e+00 -5.7264711757e+00
1.2510000000e+02 5.1744298054e+02 5.3482549800e+02 5.7506069083e+02 4.4370609022e-01 1.2579354548e+00 2.5860945866e-01 3.3382963520e+00 -1.7781090101e+00 -3.0225188715e-01
1.2510000000e+02 3.1246254423e+02 5.4318081046e+02 5.5287814484e+02 3.5498819331e+00 -3.0246373179e-01 2.5860945866e-01 6.5731196344e+00 -3.6134287078e+00 -3.2621546584e+00
1.2510000000e+02 4.5450605294e+02 4.6438661501e+02 4.5530758010e+02 3.6444350012e-01 1.9963879116e+00 2.5860945866e-01 2.0204886563e+00 1.2592860354e-01 -1.5002934820e-01
1.2510000000e+02 8.2653272642e+02 9.4749649271e+02 9.4096309922e+02 2.9037096299e+00 1.8107400428e+00 2.5860945866e-01 8.4950948006e+00 -3.1382965937e+00 -3.5460581641e+00
1.2510000000e+02 5.9964211505e+02 7.6560961730e+02 7.6457482075e+02 1.6796666154e-01 1.5148667656e+00 2.5860945866e-01 8.9510486144e+00 -3.6919254545e+00 -3.7442563943e+00
1.2510000000e+02 1.5794594504e+02 5.0544993469e+02 5.1698929386e+02 6.0082850864e-02 7.0922819692e-02 2.5860945866e-01 8.0797472104e+00 -4.1993737507e+00 -3.8094506400e+00
1.2510000000e+02 2.8740319977e+02 3.0815013075e+02 2.9177141555e+02 1.1652621091e+00 1.8013910214e+00 2.5860945866e-01 1.8850039401e+00 1.2056289999e-01 -2.0417581864e-01
1.2510000000e+02 7.0583812913e+02 8.6920678273e+02 8.6522861061e+02 8.0729700512e-01 7.6329987855e-01 2.5860945866e-01 9.0392296852e+00 -4.0239474117e+00 -4.2519823950e+00
1.2510000000e+02 7.2914504399e+02 8.8175642456e+02 9.0565271596e+02 3.7177645300e-01 1.6626401836e+00 2.5860945866e-01 1.1199104813e+01 -5.4740365592e+00 -4.0624280698e+00
1.2510000000e+02 3.1787488985e+02 5.2159912559e+02 5.4405753584e+02 4.1020662121e+00 1.6232274156e-01 2.5860945866e-01 6.6053843022e+00 -3.6170122147e+00 -2.8260493460e+00
1.2510000000e+02 2.2618008178e+02 2.2860174594e+02 2.3762454265e+02 1.6184077916e+00 1.6298928340e+00 2.5860945866e-01 1.8053173128e+00 -1.5722550896e-01 -1.8198969791e-02
1.2510000000e+02 2.6889301190e+02 4.0596364554e+02 4.0587119456e+02 4.5388094951e-01 8.2337781207e-01 2.5860945866e-01 3.8780402063e+00 -1.5260909477e+00 -1.5285714465e+00
1.2510000000e+02 3.8408316069e+02 5.0443567354e+02 5.0872924567e+02 3.7056256325e+00 -4.9877666497e-01 2.5860945866e-01 3.1791125239e+00 -1.9108280081e+00 -1.7670611807e+00
1.2510000000e+02 8.7003541925e+02 9.4975553179e+02 9.8685583563e+02 3.4048577074e+00 -6.3749529499e-01 2.5860945866e-01 6.5316107123e+00 -4.7718236453e+00 -2.3972823620e+00
1.2510000000e+02 8.1757260601e+02 8.8803910931e+02 9.1769699301e+02 8.8618866961e-01 5.8175239156e-01 2.5860945866e-01 6.3237976316e+00 -3.7559838090e+00 -1.9860614310e+00
1.2510000000e+02 2.1845638853e+02 4.3067694580e+02 4.5186915851e+02 1.2597179776e+00 1.0889391861e+00 2.5860945866e-01 6.2598871246e+00 -2.8945344619e+00 -2.2764134767e+00
1.2510000000e+02 3.2412233735e+02 6.5456391391e+02 6.5459185545e+02 8.1736221463e-02 1.8295342494e-01 2.5860945866e-01 1.0872199497e+01 -5.3452275014e+00 -5.3440185707e+00
