mh MH MA MC la2 laL la1 la3 la4 la5
1.2510000000e+02 3.6530769655e+02 5.3748488906e+02 5.5583235650e+02 3.7207417222e+00 -4.9957480471e-01 2.5860945866e-01 5.3005407142e+00 -3.2315337751e+00 -2.5685817438e+00
1.2510000000e+02 6.6794728592e+02 8.2390420507e+02 6.6906542096e+02 4.0562916666e+00 1.6441504512e+00 2.5860945866e-01 1.6935575755e+00 3.7952713470e+00 -3.8446784712e+00
1.2510000000e+02 1.3029761662e+02 3.5732204073e+02 3.7653554956e+02 1.8538692714e+00 6.9391973574e-01 2.5860945866e-01 4.8185000512e+00 -2.2952860480e+00 -1.8292942675e+00
1.2510000000e+02 2.3725025082e+02 3.8049028935e+02 3.7573354071e+02 1.4805584475e+00 1.0729539655e+00 2.5860945866e-01 3.8784272983e+00 -1.3432950862e+00 -1.4621782467e+00
1.2510000000e+02 3.5579734463e+02 4.4826322951e+02 4.4490740360e+02 1.9298096614e+00 1.3595079169e+00 2.5860945866e-01 3.7175899887e+00 -1.1295115701e+00 -1.2285705017e+00
1.2510000000e+02 8.3200209786e+02 9.4689145252e+02 9.3772708708e+02 3.3838235338e+00 4.6202615995e-02 2.5860945866e-01 6.2298432733e+00 -2.8064192279e+00 -3.3772214294e+00
1.2510000000e+02 2.6333316831e+02 4.1675876034e+02 4.4481115202e+02 2.2361117158e+00 8.3874812483e-01 2.5860945866e-01 5.0859754179e+00 -2.5229972251e+00 -1.7242300679e+00
1.2510000000e+02 8.8040045002e+02 9.3898471390e+02 9.3687041364e+02 1.9048659104e+00 -1.0422394748e-04 2.5860945866e-01 3.3914358497e+00 -1.6302316505e+00 -1.7613084231e+00
1.2510000000e+02 2.6276244389e+02 2.8682968698e+02 3.3700071829e+02 1.7551333878e+00 -2.6376559732e-01 2.5860945866e-01 1.2077587008e+00 -1.2529512362e+00 -2.1857306191e-01
1.2510000000e+02 2.6009773115e+02 2.8252196637e+02 3.4797637491e+02 1.9571113876e+00 -5.4559058076e-01 2.5860945866e-01 1.2204457649e+00 -1.5649683350e+00 -2.0106801066e-01
1.2510000000e+02 1.8104412074e+01 1.0251562038e+02 1.1810920695e+02 1.6228977689e+00 3.9264054448e-01 2.5860945866e-01 8.4283603095e-01 -2.8194770597e-01 -1.6824778050e-01
1.2510000000e+02 6.2608052584e+02 7.6325520774e+02 7.7772966025e+02 2.0201073705e+00 5.7710785370e-01 2.5860945866e-01 7.6128207097e+00 -3.8864351887e+00 -3.1492776673e+00
1.2510000000e+02 1.3235914987e+01 4.0358995488e+02 4.0077623712e+02 1.4047962131e+00 -5.0982667088e-01 2.5860945866e-01 4.7927843013e+00 -2.6139061299e+00 -2.6887048423e+00
1.2510000000e+02 1.4532510480e+02 4.7263057995e+02 4.6679697304e+02 1.3926361085e+00 -1.4244571825e-01 2.5860945866e-01 6.3609592641e+00 -3.1611437784e+00 -3.3422612040e+00
1.2510000000e+02 1.0883641987e+01 2.1682857189e+02 2.3645360723e+02 3.8065474887e+00 -4.6181018047e-01 2.5860945866e-01 1.3820610176e+00 -1.0689327367e+00 -7.7493846132e-01
1.2510000000e+02 2.5095835203e+02 2.5150970317e+02 3.1869955498e+02 4.0526431174e+00 1.3244172345e-01 2.5860945866e-01 1.4077841748e+00 -1.2707645491e+00 -4.5779022527e-03
1.2510000000e+02 6.0298476993e+02 6.0386572821e+02 6.4420979946e+02 1.3526086280e+00 -4.4436664793e-01 2.5860945866e-01 1.2548743116e+00 -1.6816723010e+00 -1.7568658510e-02
1.2510000000e+02 1.9676971110e+02 3.0045875578e+02 3.1395448086e+02 1.3038606535e+00 1.1165479052e+00 2.5860945866e-01 3.0945073488e+00 -1.1260005448e+00 -8.5195889872e-01
1.2510000000e+02 6.2563346981e+02 7.1388263492e+02 7.4474614136e+02 4.1693044021e+00 5.3397748149e-01 2.5860945866e-01 5.9285698711e+00 -3.4412052212e+00 -1.9533871684e+00
1.2510000000e+02 1.2975126109e+02 1.9235486451e+02 1.6329002672e+02 3.7486914518e+00 9.3877948459e-01 2.5860945866e-01 1.2635941806e+00 8.4030339614e-03 -3.3321772994e-01
1.2510000000e+02 3.8036265210e+01 3.7544451532e+02 3.8108352295e+02 3.7533927409e+00 -3.2528001801e-01 2.5860945866e-01 4.4264515569e+00 -2.4463606547e+00 -2.3053709203e+00
1.2510000000e+02 1.0487240748e+01 3.4104454804e+02 3.4641588666e+02 2.8606124532e+00 -1.1159258083e-02 2.5860945866e-01 3.9512303351e+00 -2.0422130857e+00 -1.9201765075e+00
1.2510000000e+02 1.2597718598e+02 4.4615839945e+02 4.4482619683e+02 4.1391228413e+00 1.4418737754e+00 2.5860945866e-01 7.4568150802e+00 -2.9878564675e+00 -3.0270848373e+00
1.2510000000e+02 3.8646520442e+02 3.9421303286e+02 3.8977308710e+02 2.6381212895e+00 8.7345746458e-01 2.5860945866e-01 9.5831783861e-01 1.5089408627e-02 -9.9949782659e-02
1.2510000000e+02 2.9355695494e+02 4.3618723932e+02 4.5925099225e+02 1.0649442025e+00 3.3706893952e-02 2.5860945866e-01 4.1561137976e+00 -2.4024713171e+00 -1.7199355865e+00
1.2510000000e+02 3.2115605262e+02 3.4145268819e+02 3.6183233719e+02 1.4240930492e-01 3.0468334888e-01 2.5860945866e-01 1.2228349156e+00 -6.9591731225e-01 -2.2223425442e-01
1.2510000000e+02 3.9954234842e+02 6.2339176900e+02 6.4203115893e+02 3.0213632656e+00 1.2289372508e+00 2.5860945866e-01 9.5761485953e+00 -4.5633655933e+00 -3.7838457512e+00
1.2510000000e+02 7.9035256843e+02 8.9984659548e+02 7.9811543871e+02 3.9431438384e+00 9.6579802285e-01 2.5860945866e-01 1.3733289594e+00 2.6506142312e+00 -3.0581451678e+00
1.2510000000e+02 6.8586870321e+02 7.6924911082e+02 7.6879008002e+02 3.4600320214e+00 -4.0648513186e-01 2.5860945866e-01 3.5799749479e+00 -1.9815635820e+00 -2.0048964977e+00
1.2510000000e+02 3.8067494088e+02 4.2838583145e+02 4.5232513468e+02 8.7448300126e-01 6.1502808411e-01 2.5860945866e-01 2.5875516099e+00 -1.3346589945e+00 -6.3786453123e-01
1.2510000000e+02 8.2670783419e+00 7.1237764738e+01 8.8013820639e+01 1.7923634445e+00 -1.9561414825e-01 2.5860945866e-01 5.8139835464e-02 -1.7102421736e-01 -8.2729766352e-02
1.2510000000e+02 3.5946682106e+02 3.9294175982e+02 4.3059784171e+02 3.1053979896e+00 1.2324103767e+00 2.5860945866e-01 3.0897078135e+00 -1.4410962476e+00 -4.1620118924e-01
1.2510000000e+02 2.0732527620e+02 3.8880658833e+02 3.8091667443e+02 1.0185406293e+00 1.5848571369e+00 2.5860945866e-01 4.9596255523e+00 -1.5870297516e+00 -1.7877386638e+00
1.2510000000e+02 3.0087259922e+02 3.7434284866e+02 3.1968983969e+02 3.0787650864e+00 -7.4272386913e-01 2.5860945866e-01 -3.5680038979e-01 4.3383075726e-01 -8.1975423660e-01
1.2510000000e+02 6.6672746026e+02 7.0452345166e+02 7.6260323419e+02 2.8657644358e+00 1.3525377702e+00 2.5860945866e-01 5.8815280053e+00 -3.6725590819e+00 -8.5643115324e-01
1.2510000000e+02 9.6806759375e+01 1.5499495850e+02 1.5328816350e+02 1.8603836818e+00 -4.9914083903e-01 2.5860945866e-01 -3.2298601948e-02 -2.2472629253e-01 -2.4211594455e-01
1.2510000000e+02 6.8069310180e+02 7.0456865454e+02 7.5305683682e+02 1.3284386048e+00 -2.5060898695e-01 2.5860945866e-01 3.1782858719e+00 -2.8823635263e+00 -5.4653133254e-01
1.2510000000e+02 4.8491831886e+02 6.0089237919e+02 6.0418396636e+02 2.7060933420e+00 1.4662282485e+00 2.5860945866e-01 5.7590595406e+00 -2.2119621765e+00 -2.0808691156e+00
1.2510000000e+02 3.8756593104e+02 6.5268534883e+02 6.6532164945e+02 3.3947037814e+00 -3.4997700265e-01 2.5860945866e-01 9.3150883130e+00 -5.1077447117e+00 -4.5573206040e+00
1.2510000000e+02 7.2620678219e+02 8.4340656557e+02 7.2727385584e+02 2.6475151972e+00 1.9027214687e+00 2.5860945866e-01 1.9539796777e+00 2.9885716599e+00 -3.0398298689e+00
1.2510000000e+02 2.0650538240e+02 3.4433460453e+02 2.1049431570e+02 1.0396873507e+00 1.2248708187e+00 2.5860945866e-01 1.2798441804e+00 1.1996014105e+00 -1.2545747722e+00
1.2510000000e+02 3.4858047034e+02 3.9586472895e+02 4.4148522854e+02 2.0219187216e+00 5.2294006858e-01 2.5860945866e-01 2.9487733265e+00 -1.8441599926e+00 -5.8167326534e-01
1.2510000000e+02 8.4982732016e+02 8.9580392857e+02 8.7966461512e+02 1.5478747629e+00 7.3652722074e-01 2.5860945866e-01 2.4419724251e+00 -3.7921405309e-01 -1.3262311513e+00
1.2510000000e+02 9.4046301601e+01 2.8945363268e+02 3.0765395121e+02 3.7335764236e+00 2.9103879182e-01 2.5860945866e-01 3.1268589666e+00 -1.5974914910e+00 -1.2383286838e+00
1.2510000000e+02 7.9852194496e+02 8.2240893255e+02 8.5477161772e+02 2.5343345243e-01 1.3765280309e-01 2.5860945866e-01 3.2111283096e+00 -2.4336586687e+00 -6.3981683789e-01
1.2510000000e+02 2.9226646547e+02 3.4580179446e+02 3.0226913928e+02 1.8498356163e+00 7.5106636524e-01 2.5860945866e-01 9.4760763443e-01 3.6792423103e-01 -5.6446550022e-01
1.2510000000e+02 5.9543584245e+02 6.1636545943e+02 6.3820459920e+02 3.1915558748e+00 -5.0311788732e-01 2.5860945866e-01 1.2405951131e+00 -1.3246083487e+00 -4.1910465165e-01
1.2510000000e+02 1.6001137719e+02 2.6323085398e+02 2.9638543830e+02 2.9265672011e+00 -6.3150764283e-01 2.5860945866e-01 1.4254917360e+00 -1.3350937397e+00 -7.2190563913e-01
1.2510000000e+02 6.0673651335e+02 7.4563749591e+02 7.7824819285e+02 2.5035753205e+00 -5.3224710301e-01 2.5860945866e-01 7.3182735210e+00 -4.7464476735e+00 -3.1040729505e+00
1.2510000000e+02 7.6925702292e+01 1.1679558431e+02 1.1798999429e+02 3.5186694789e+00 -1.2049946395e-01 2.5860945866e-01 1.4402810163e-01 -1.3689776784e-01 -1.2762979775e-01
1.2510000000e+02 3.2599078002e+02 3.2949427830e+02 4.0050226897e+02 1.6018313120e+00 -5.0647869899e-01 2.5860945866e-01 1.2825383807e+00 -1.7510685904e+00 -3.7948489262e-02
1.2510000000e+02 1.1182669845e+02 1.9106868384e+02 2.3128426026e+02 2.9963828595e+00 3.1200996969e-01 2.5860945866e-01 1.6666004434e+00 -9.5796757310e-01 -3.9662290065e-01
1.2510000000e+02 3.3624400722e+02 6.5835075512e+02 6.6012272016e+02 3.2701199775e+00 1.1852176680e-01 2.5860945866e-01 1.0783535095e+01 -5.3711127998e+00 -5.2939005283e+00
1.2510000000e+02 5.9272755133e+02 7.0989906053e+02 7.0078608200e+02 1.1218663910e+00 8.4790205188e-01 2.5860945866e-01 5.4673475744e+00 -2.0972906209e+00 -2.5221549016e+00
1.2510000000e+02 3.4305094393e+02 3.9650957118e+02 3.8025410182e+02 5.8195816839e-01 1.7977950783e+00 2.5860945866e-01 2.6871212670e+00 -2.3601318210e-01 -6.5331300661e-01
1.2510000000e+02 4.2345778020e+02 4.4666799891e+02 4.3487824796e+02 1.5565209998e+00 -5.3168655194e-01 2.5860945866e-01 -2.0771937179e-01 9.7595968475e-03 -3.3372677700e-01
1.2510000000e+02 5.0546995360e+02 6.5801078612e+02 6.5336715085e+02 3.8771901191e+00 -6.4059673130e-01 2.5860945866e-01 5.0236494126e+00 -2.7314957858e+00 -2.9327503580e+00
1.2510000000e+02 7.1681694466e+02 8.9320773494e+02 7.1834145361e+02 1.2740607050e-01 6.4102949814e-01 2.5860945866e-01 7.1333803854e-01 4.6205582320e+00 -4.6928667724e+00
1.2510000000e+02 4.4902417897e+02 6.6214483746e+02 4.5149874415e+02 6.4824315847e-01 1.8654604973e+00 2.5860945866e-01 1.9391072244e+00 3.8395840297e+00 -3.9132307568e+00
1.2510000000e+02 3.7291224218e+02 5.5245621134e+02 5.5077448159e+02 2.5876211183e+00 1.9758300084e+00 2.5860945866e-01 7.4054350451e+00 -2.6841439176e+00 -2.7454611191e+00
1.2510000000e+02 4.4863321876e+02 5.1943782699e+02 5.6544743246e+02 2.7711112922e+00 1.6829894290e+00 2.5860945866e-01 5.5979551869e+00 -2.7823084255e+00 -1.1326573324e+00
1.2510000000e+02 3.6163927416e+02 5.4426178487e+02 5.4235985983e+02 3.1362959399e+00 -8.0622186781e-01 2.5860945866e-01 4.5930528011e+00 -2.6654864832e+00 -2.7337881857e+00
1.2510000000e+02 5.8212060449e+02 6.4978354040e+02 5.9474375787e+02 5.9182497830e-01 4.9731217912e-01 2.5860945866e-01 9.8828115769e-01 8.8642297059e-01 -1.3773919492e+00
1.2510000000e+02 5.6297047412e+02 6.2390911402e+02 6.2413934099e+02 6.2171640417e-01 8.3325389708e-01 2.5860945866e-01 3.2330874035e+00 -1.2046648266e+00 -1.1951686798e+00
1.2510000000e+02 2.7724391192e+02 5.0695926079e+02 5.1518120073e+02 3.2596616659e+00 1.2789468640e+00 2.5860945866e-01 7.5102735507e+00 -3.2545353356e+00 -2.9767913511e+00
1.2510000000e+02 4.5736490656e+02 5.6643091296e+02 4.6697141945e+02 5.0095554615e-01 4.5830259900e-01 2.5860945866e-01 7.5176709856e-01 1.5516892019e+00 -1.8451537015e+00
