mh MH MA MC la2 laL la1 la3 la4 la5
1.2510000000e+02 6.2940590136e+02 7.3435149654e+02 7.6138675354e+02 9.3248558518e-01 2.8557359671e-01 2.5860945866e-01 6.3520023033e+00 -3.7014288420e+00 -2.3649998646e+00
1.2510000000e+02 3.0267377095e+02 6.8366472447e+02 6.8649556037e+02 2.6158856417e-01 -1.6363783510e-01 2.5860945866e-01 1.2383944384e+01 -6.3378848853e+00 -6.2096973339e+00
1.2510000000e+02 6.7228531547e+02 8.7419870479e+02 8.8249117692e+02 1.6754084554e-01 2.0293577288e-01 2.5860945866e-01 1.1004149731e+01 -5.6413251671e+00 -5.1598887909e+00
1.2510000000e+02 5.9775414511e+02 8.1542140092e+02 8.1992260630e+02 2.9246157731e+00 3.3480787920e-01 2.5860945866e-01 1.0744057080e+01 -5.3262621713e+00 -5.0829870298e+00
1.2510000000e+02 4.2854495848e+02 4.6552337356e+02 4.8541589543e+02 2.6193555430e+00 2.2897279265e-01 2.5860945866e-01 1.9467932068e+00 -1.1714982864e+00 -5.4632212777e-01
1.2510000000e+02 8.4638767220e+02 9.6380370671e+02 9.7083069519e+02 3.4104336496e+00 -8.0298236755e-01 2.5860945866e-01 6.6707484500e+00 -3.9615110173e+00 -3.5122198002e+00
1.2510000000e+02 6.8283267960e+02 7.2655989606e+02 7.3828667099e+02 1.7805257510e+00 -1.3002672538e-01 2.5860945866e-01 2.4744659787e+00 -1.5861039435e+00 -1.0183887605e+00
1.2510000000e+02 7.9450967110e+02 8.9374999617e+02 8.9863024991e+02 3.5589531141e+00 5.6526299868e-01 2.5860945866e-01 6.3915141913e+00 -3.0576703514e+00 -2.7685808411e+00
1.2510000000e+02 8.9100360747e+02 9.3366909948e+02 9.3915431923e+02 3.8975663579e+00 2.2967829593e-01 2.5860945866e-01 3.1420785469e+00 -1.6259543722e+00 -1.2864458788e+00
1.2510000000e+02 5.0146537451e+02 6.7840002408e+02 6.9679125449e+02 1.1134030956e+00 1.3561558538e-01 2.5860945866e-01 7.8707775428e+00 -4.2855111074e+00 -3.4496508500e+00
1.2510000000e+02 2.7544417210e+02 4.8784008016e+02 5.0014769653e+02 1.3003131858e+00 1.0674739820e-01 2.5860945866e-01 5.8664878437e+00 -3.0808050917e+00 -2.6789353538e+00
1.2510000000e+02 3.5039815722e+02 3.7751104709e+02 4.0254544186e+02 2.6980038861e+00 1.9185401853e-01 2.5860945866e-01 1.4894931282e+00 -9.7151507476e-01 -3.2612403492e-01
1.2510000000e+02 6.6013256981e+02 6.7923172513e+02 6.9188714966e+02 2.4539062770e+00 -1.8582810324e-01 2.5860945866e-01 1.2330633679e+00 -9.9618133335e-01 -4.2271013777e-01
1.2510000000e+02 6.9941107432e+02 7.3162513605e+02 7.8843190922e+02 3.1687586527e+00 6.2596588562e-01 2.5860945866e-01 5.0032883984e+00 -3.6155489517e+00 -7.6177356102e-01
1.2510000000e+02 2.5866255075e+02 2.8099295077e+02 3.2178050929e+02 1.6609701973e-02 -4.3103727555e-02 2.5860945866e-01 1.1676960939e+00 -1.0116669769e+00 -1.9913284455e-01
1.2510000000e+02 4.1517555637e+02 6.0351782991e+02 6.0709580363e+02 8.6007986061e-01 2.4969245805e-01 2.5860945866e-01 6.7337486473e+00 -3.3136049299e+00 -3.1704512594e+00
1.2510000000e+02 8.6099436198e+02 8.9153582073e+02 9.3021685325e+02 4.0197381630e+00 -6.3569934272e-01 2.5860945866e-01 3.4621294203e+00 -3.2133547679e+00 -8.8447399504e-01
1.2510000000e+02 4.4392074320e+02 7.0549759276e+02 7.2417863413e+02 3.6859440982e+00 2.6889603441e-02 2.5860945866e-01 1.0846146259e+01 -5.8509635242e+00 -4.9682931316e+00
1.2510000000e+02 4.4278212254e+02 4.8171805776e+02 5.3292004130e+02 1.2565830424e+00 2.2837560136e-01 2.5860945866e-01 3.1349709608e+00 -2.3117728475e+00 -5.9482251196e-01
1.2510000000e+02 5.1768413369e+02 5.7924793924e+02 5.9092894966e+02 6.2044303653e-01 -8.2038102130e-02 2.5860945866e-01 2.6015550395e+00 -1.5676682153e+00 -1.1159249263e+00
1.2510000000e+02 2.1676179717e+02 4.1191938822e+02 4.3833426582e+02 7.5135522913e-01 -1.1941540754e-01 2.5860945866e-01 4.6777044246e+00 -2.7696906287e+00 -2.0274292034e+00
