mh MH MA MC la2 laL la1 la3 la4 la5
1.2510000000e+02 5.0336126839e+02 6.4401779414e+02 5.1034881528e+02 3.2258736548e+00 -3.1402322126e-01 2.5860945866e-01 -7.9924908468e-02 2.4327394269e+00 -2.6668377397e+00
1.2510000000e+02 6.5206619746e+02 7.0686185089e+02 7.2181027385e+02 2.7786987618e+00 1.7694274029e+00 2.5860945866e-01 4.9361848080e+00 -1.9362836400e+00 -1.2304737651e+00
1.2510000000e+02 1.6444550388e+02 2.8950522940e+02 3.0467637191e+02 1.1195829660e+00 -4.7977586407e-01 2.5860945866e-01 1.6943720590e+00 -1.2360331417e+00 -9.3811478130e-01
1.2510000000e+02 5.7256773831e+02 6.1490318242e+02 6.0602474403e+02 1.5235003988e+00 7.1370109399e-01 2.5860945866e-01 2.0168994356e+00 -4.7247409026e-01 -8.3072425139e-01
1.2510000000e+02 8.6029790299e+02 9.1594694515e+02 8.8797263642e+02 5.7143202093e-01 -2.2253783013e-01 2.5860945866e-01 1.3764747003e+00 3.4379042861e-02 -1.6333915733e+00
1.2510000000e+02 3.1659853142e+02 5.1142597032e+02 5.3450821930e+02 1.7124672379e+00 2.1069025765e-01 2.5860945866e-01 6.3401240074e+00 -3.4636611769e+00 -2.6657725729e+00
1.2510000000e+02 1.6237623547e+02 5.1472702215e+02 5.2524685145e+02 1.9958609389e+00 1.4220294435e-01 2.5860945866e-01 8.3885580606e+00 -4.3039619394e+00 -3.9423931768e+00
1.2510000000e+02 8.7294005276e+02 9.1483765149e+02 9.5520375552e+02 2.8891557163e+00 -2.8045807966e-02 2.5860945866e-01 4.9422059883e+00 -3.7325032194e+00 -1.2377485768e+00
1.2510000000e+02 7.0348944527e+02 8.8368458015e+02 9.0835188092e+02 3.6209801096e+00 1.3263570419e+00 2.5860945866e-01 1.2239363188e+01 -6.1869661306e+00 -4.7260400155e+00
1.2510000000e+02 5.6814260804e+02 6.7953930179e+02 6.9737695355e+02 3.9308890822e+00 1.0646524239e+00 2.5860945866e-01 6.4697880003e+00 -3.1084266134e+00 -2.2967089630e+00
1.2510000000e+02 9.7487469532e+01 2.3073885295e+02 2.4831800049e+02 2.1382392591e+00 -7.4076103081e-01 2.5860945866e-01 9.8301524829e-01 -1.0010482147e+00 -7.2272806442e-01
1.2510000000e+02 6.0989026682e+02 7.4166659930e+02 7.6104496872e+02 4.0447586098e+00 1.8266662178e+00 2.5860945866e-01 8.6752122835e+00 -3.9054697394e+00 -2.9430763263e+00
1.2510000000e+02 7.0670684361e+02 8.9069058461e+02 8.9724286945e+02 2.1585141914e+00 1.2000918451e+00 2.5860945866e-01 1.1300237392e+01 -5.2436587552e+00 -4.8564867920e+00
1.2510000000e+02 6.8454474254e+02 8.5118351257e+02 8.4734368549e+02 1.8160825403e+00 -5.1183924009e-01 2.5860945866e-01 7.7302724923e+00 -4.0132818771e+00 -4.2288298553e+00
1.2510000000e+02 5.5960042510e+02 7.2490993882e+02 7.5211597047e+02 6.2857814315e-01 3.5262237158e-01 2.5860945866e-01 8.6983754702e+00 -4.8368995124e+00 -3.5088535863e+00
1.2510000000e+02 5.6245784478e+02 6.1561650338e+02 6.6061839444e+02 3.6682633322e+00 5.3745581839e-01 2.5860945866e-01 4.5052605615e+00 -2.9329569000e+00 -1.0348478431e+00
1.2510000000e+02 3.4935016625e+02 3.5182215462e+02 3.8002278830e+02 2.6133200861e-01 1.8620346205e+00 2.5860945866e-01 2.6014020926e+00 -7.1072562824e-01 -2.8641843813e-02
1.2510000000e+02 5.6490130083e+01 8.9875861660e+01 1.0837075875e+02 3.0176460953e+00 5.7782528561e-01 2.5860945866e-01 8.6049719242e-01 -2.0192407628e-01 -8.0747830530e-02
1.2510000000e+02 5.9172346418e+02 6.7689976767e+02 7.0180847611e+02 7.7625061944e-01 1.3342079729e+00 2.5860945866e-01 6.0403511115e+00 -2.9205552376e+00 -1.7855879009e+00
1.2510000000e+02 7.2142828987e+02 8.0433121088e+02 8.2702845173e+02 2.3163292027e+00 -1.1860204349e-01 2.5860945866e-01 5.2854987745e+00 -3.3139111266e+00 -2.0901896914e+00
1.2510000000e+02 7.0579537629e+02 8.1545534057e+02 8.1304987914e+02 3.5191309617e+00 1.5956149535e+00 2.5860945866e-01 6.9794140410e+00 -2.6271677953e+00 -2.7566312922e+00
1.2510000000e+02 8.8598264344e+02 9.1405221988e+02 8.9180243436e+02 7.9354802478e-01 8.9147018450e-01 2.5860945866e-01 1.2334074395e+00 4.9298600819e-01 -8.3492326317e-01
1.2510000000e+02 4.3056552188e+02 5.1670544561e+02 5.0662123578e+02 1.2775787158e+00 1.1721611178e+00 2.5860945866e-01 3.5278491315e+00 -1.0073198317e+00 -1.3483681819e+00
1.2510000000e+02 3.4289012822e+02 3.9877478632e+02 3.8695989021e+02 1.4453455877e+00 1.4090997799e+00 2.5860945866e-01 2.4721018489e+00 -3.7809741275e-01 -6.8490465619e-01
1.2510000000e+02 7.7970655643e+02 9.5146444579e+02 9.5037278251e+02 2.9881310916e+00 -3.2894516489e-01 2.5860945866e-01 9.4293373255e+00 -4.8448335271e+00 -4.9134489633e+00
1.2510000000e+02 5.0873550587e+02 5.5382959530e+02 5.3542550491e+02 2.9981466919e+00 -7.8666164547e-01 2.5860945866e-01 1.3437267185e-01 -1.2925353703e-01 -7.9178078030e-01
1.2510000000e+02 8.1116669891e+02 9.7232634354e+02 9.7931181858e+02 2.9267978138e+00 1.6170321384e+00 2.5860945866e-01 1.1566804913e+01 -5.2001676296e+00 -4.7496051447e+00
1.2510000000e+02 3.1671143743e+02 4.5293643454e+02 4.8233639750e+02 1.5847846856e+00 1.4993196030e+00 2.5860945866e-01 5.8731138311e+00 -2.6412725953e+00 -1.7325216329e+00
1.2510000000e+02 3.7416016009e+02 4.5189806714e+02 4.3435841088e+02 2.0617009533e+00 1.8052811396e+00 2.5860945866e-01 3.4138277622e+00 -5.4740514451e-01 -1.0611414781e+00
1.2510000000e+02 5.1509633921e+02 6.3273923991e+02 6.2759807655e+02 2.7568464772e+00 1.0675968856e+00 2.5860945866e-01 5.3162288845e+00 -2.0172434893e+00 -2.2313885096e+00
1.2510000000e+02 8.0703335610e+02 8.7072482434e+02 9.2449538493e+02 4.5593486657e-01 1.1897437379e+00 2.5860945866e-01 7.9115653681e+00 -4.9560261075e+00 -1.7657955227e+00
1.2510000000e+02 9.1563177373e+02 9.2757432749e+02 9.3015681368e+02 2.2720554046e+00 1.7195571519e+00 2.5860945866e-01 2.6056088731e+00 -5.2230349007e-01 -3.6374823117e-01
