mh MH MA MC la2 laL la1 la3 la4 la5
125.100000 649.931672 655.469604 735.114713 1.073600 0.271570 0.258609 4.170786 -3.779756 -0.119460
125.100000 141.582925 156.439075 296.476029 3.697769 0.703771 0.258609 2.946229 -2.169297 -0.073162
125.100000 41.856687 323.496247 536.250567 2.263984 0.652019 0.258609 10.097874 -7.745514 -1.700341
125.100000 22.558399 122.141955 234.639763 1.747416 0.580103 0.258609 2.382831 -1.564613 -0.238115
125.100000 104.642960 156.077617 199.305533 0.775593 0.000695 0.258609 0.951602 -0.729312 -0.221596
125.100000 204.570495 263.563427 535.501385 3.535096 -0.772430 0.258609 7.321716 -7.637793 -0.456352
125.100000 126.033584 189.872111 356.695511 4.025695 -0.653177 0.258609 3.026749 -3.346677 -0.333250
125.100000 221.559652 372.592909 433.797966 1.994648 1.283579 0.258609 5.880446 -3.114006 -1.482861
125.100000 484.042235 528.592146 652.406431 3.946645 0.370580 0.258609 6.694106 -5.578058 -0.745469
125.100000 289.521383 534.369199 617.170036 1.150349 -0.008829 0.258609 9.809276 -6.484643 -3.333462
125.100000 310.980000 553.740687 636.299927 2.831056 0.787531 0.258609 10.972244 -6.715875 -3.468838
125.100000 212.881246 310.787161 584.593581 3.746560 0.695852 0.258609 10.492641 -8.949571 -0.847218
125.100000 273.588975 432.160948 457.782158 2.774761 -0.296725 0.258609 4.155439 -2.602865 -1.849299
125.100000 509.271259 600.600225 738.636190 1.285782 1.164290 0.258609 10.623811 -7.784536 -1.674985
125.100000 142.431572 307.558528 633.802759 3.667970 -0.334985 0.258609 12.270580 -11.377700 -1.227865
125.100000 337.476422 374.150482 684.160615 2.231278 0.663552 0.258609 12.369065 -11.274251 -0.431262
125.100000 148.719400 274.192547 443.819745 1.770544 -0.551793 0.258609 5.227125 -4.902058 -0.876861
125.100000 248.268327 389.651527 467.362583 3.181392 -0.490133 0.258609 4.691658 -3.691422 -1.490369
125.100000 0.282452 18.380604 255.185990 1.972518 -0.217763 0.258609 1.934388 -2.146570 -0.005581
125.100000 24.563546 166.690106 519.324656 0.956893 0.367467 0.258609 9.260809 -8.444167 -0.449174
125.100000 574.183075 603.963881 646.360693 3.825431 -0.417158 0.258609 2.494335 -2.331709 -0.579783
