S	T
0.010708	0.0994535
0.0148017	0.0957145
0.0193899	0.113808
-0.00740041	0.104068
-0.00347146	0.0403707
0.00287991	-0.0136746
0.0646004	0.145345
-0.000490986	-0.0177753
-0.00426812	0.0194558
-0.00110058	-7.71528e-05
0.0665516	0.161305
0.0186765	0.0343639
0.00306128	0.0300035
-0.0106498	0.0575782
-0.0120591	-0.0180616
0.00217274	-0.00104328
0.0401183	0.151156
-0.00525835	0.113876
0.0711993	0.0340202
-0.0205501	0.0777554
0.047373	0.0304699
0.00847633	0.0694181
0.0947016	0.116882
0.00872143	0.0103318
0.0187597	0.0878682
-0.0206339	0.0765517
-0.0129594	0.0729503
0.00637312	0.0356225
-0.00526335	0.00804556
0.0160592	0.0619212
-0.0210047	0.0489804
0.0729128	0.0632256
-0.00408592	0.00598695
-0.0147484	0.0750402
0.00689978	0.0901604
-0.0154452	0.0336118
0.00905585	-0.00513131
-0.0523475	0.0125967
0.0523698	0.104698
-0.00429502	0.0520702
-0.00240286	0.0328329
-0.0212016	0.058668
0.0458413	0.0730196
0.00816885	0.0719819
0.00249143	-0.00136306
0.000651626	-0.0114777
0.0128846	0.113827
0.0763841	0.180115
0.0111879	0.105823
-0.00732773	-0.00675276
0.0130702	0.128297
-0.00913071	0.0794718
0.0965639	0.162749
-0.019555	0.101851
-0.00583351	0.0941505
0.0131772	0.0591599
-0.0107307	-0.0117219
-0.00893265	0.0166767
-0.0107955	-0.0204893
-0.0121072	0.0744307
0.0201635	0.052693
-0.00711722	0.0970241
0.0144692	0.108506
0.0042488	-0.00373414
-0.00913367	0.0126506
-0.00346888	0.0225109
0.0176013	-0.00823349
-0.0173635	0.0773972
-0.0222644	0.00668773
0.00440757	0.00208025
-0.0152945	0.0951352
0.0260311	0.000605027
0.00359165	-0.0054679
0.0495019	0.0415951
0.0785368	0.0610391
-0.0124772	-0.0210987
-0.00913501	0.0422984
0.0261872	0.00550304
-0.0148067	0.0695137
0.0134408	0.111965
0.013595	-0.00220039
0.00990525	0.120919
-0.0213482	0.0489125
0.00493219	0.0824622
-0.00711528	0.0464196
0.00442511	0.00255274
0.0356498	0.0255723
-0.0214942	-0.0324647
-0.00622581	0.0372228
0.00414904	0.0193721
0.0130249	0.0534189
0.0330878	0.0366452
-0.00198746	-0.00182264
0.0174111	0.0906486
0.00567872	-0.0111774
0.00306722	0.0407458
-0.0129106	-0.0221208
0.00415011	0.0433234
-0.00453297	0.00629244
0.060665	0.0886673
0.017367	0.0456443
-0.0213629	0.0397496
-0.000543522	-6.79344e-05
0.0142715	0.127744
0.00710982	0.0875585
-0.0108806	0.0806727
-0.00998146	0.0415623
-0.0124822	0.104205
0.00594008	0.0288324
-0.00431959	0.0398361
-0.0142343	-0.0220151
-0.00429977	0.02973
0.00414044	0.0456076
0.019267	0.092229
-0.0220413	-0.0165672
0.0177975	0.0171175
-0.0184099	-0.00852247
-0.0224425	0.0177965
0.0235512	0.0312554
0.150411	0.119143
-0.0196187	0.0485144
-0.0206849	0.0661864
-0.0208588	0.0519173
-0.0016547	0.00193375
0.023356	0.0207914
0.0115438	0.0866408
0.0020887	-0.0146703
-0.00913684	0.0240444
-0.0108144	0.0302488
-0.00179731	0.00287686
0.00542592	0.0769938
0.00844898	0.0339322
-0.00928923	0.0198808
-0.0090817	0.0619549
-0.0102826	0.00130104
0.00665212	0.0335967
0.00053559	-0.000351174
0.0137204	0.110355
-0.00030261	-0.00945072
-0.00727064	0.0637409
0.00319292	0.012513
-0.0127426	0.0279042
0.0737313	0.0310501
-0.0185644	0.00729857
0.0974033	0.125987
-0.0164078	0.0460677
-0.00914387	0.013026
-0.00564574	-0.00548254
0.0425511	0.0135977
-0.00792125	0.024506
0.063177	0.0998452
-0.00522289	0.00233404
-0.00848955	0.10421
-0.0135626	0.00251386
0.0213818	0.0518578
0.0245512	0.101847
-0.00580885	0.0300583
0.206253	0.15928
-0.00835914	0.0881538
-0.0110527	0.0189685
-0.0056783	-0.0233521
-0.00511388	0.0602032
-0.000106018	-0.00428107
-0.00470818	0.077734
-0.00880923	0.0462271
-0.0174307	0.00912216
0.00882892	0.122037
0.002902	-0.0188729
0.0226941	0.123501
-0.0080548	0.113445
-0.00760209	0.0331415
0.0469333	0.141555
0.00698518	0.020265
0.0154436	0.0977919
0.00927603	0.0630755
0.00450604	0.098367
-0.00938592	0.0337422
-0.0162415	0.0285211
0.00733084	0.112087
-0.0125976	0.00846479
0.0139667	0.113283
-0.000898478	-0.0133879
0.0386861	0.152218
0.0010934	-0.00699897
0.0536053	0.0708637
0.0123846	0.0793873
0.0494257	0.0879958
-0.01231	0.0381289
0.00465258	-0.00711948
0.0736525	0.0692167
-0.0220862	0.00548063
0.019022	0.0482853
0.0145421	0.112125
-0.00749924	0.0764927
-0.022304	0.0199195
0.0118439	0.114753
0.0455448	0.13318
-0.00511005	0.0513166
0.00281504	0.0394308
-0.00821296	-0.0132821
0.00531726	0.0373594
-0.0068055	0.0995699
0.104431	0.137736
0.00704012	0.0395261
-0.0219831	0.0960635
0.0540433	0.0345477
-0.0112364	0.031374
0.0390732	0.13909
0.059691	0.132987
0.0931625	0.091622
0.0139869	0.0705034
0.0138761	0.109737
-0.0070039	-0.00215429
0.00397747	0.0287025
-0.00662024	0.0863868
-0.00952237	0.0211676
-0.000600323	-0.0181385
0.0402212	0.00682571
0.00386963	0.0222128
-0.00494274	0.106661
-0.020404	-0.0146798
0.00923984	0.0787694
0.105684	0.105407
-0.00628126	0.0278143
-0.021689	0.0149184
0.0943485	0.108131
0.0165307	0.064106
0.00632685	0.0671701
-0.0209181	-0.0336923
-0.00999492	-0.0226475
-0.00504011	0.0448212
-0.0228979	0.0451526
0.0488875	0.0954985
0.0225528	0.0670639
-0.0137462	0.0471617
0.00361597	-0.0162197
0.0162656	0.00151248
-0.0124138	0.0629891
-0.00329523	0.0041052
0.00550898	0.00215226
0.0266703	0.133292
0.007106	0.0979276
0.00372018	0.0151448
-0.00310545	0.0467794
-0.0220613	0.0853785
-0.0185982	-0.017364
0.0319196	0.136694
-0.01701	0.0948796
-0.0198957	0.06542
-0.00939635	0.0425532
0.024327	0.0114023
0.0066628	0.00865084
0.00382377	0.00895412
0.000161296	-0.000692305
-0.0218281	-0.0223922
-0.0218975	-0.00516232
-0.00315233	-0.017968
-0.00449379	0.0137009
0.0105817	0.0942077
-0.0148032	0.0151327
-0.00956687	0.0342686
0.0104528	0.00304344
0.146267	0.115222
0.00557772	0.0785344
-0.00136904	-0.0161663
0.0169693	0.118109
0.0135694	-0.000203843
-0.0246524	0.0689635
0.0291503	0.116931
0.00460408	0.00403899
0.0837167	0.154972
0.0868844	0.0580087
0.00622361	0.0794736
-0.00972494	0.0187158
-0.0130693	0.0592671
-0.00959801	0.112779
0.00845493	0.100621
-0.0140118	-0.0239967
-0.0131183	0.0148379
-0.00603106	0.00333936
0.0187105	-0.00347573
-0.00136528	0.00449004
-0.015783	0.0640585
-0.0203881	0.045492
-0.0166934	-0.00581228
0.000575682	-0.00929162
-0.0165585	0.0605069
-0.0192555	0.0432155
-0.0134833	0.0262368
0.0101148	0.111996
-0.0167441	0.0682733
-0.00432054	0.0113596
-0.00448474	0.07668
0.0843631	0.163459
0.0159819	0.0714326
-0.00583542	0.0110315
0.0376412	0.030761
0.00209797	-0.00188122
-0.0128606	0.0964206
0.000717011	-0.0167401
-0.00641109	0.0174793
-0.00833196	0.00399733
-0.0226779	0.060063
0.00936548	0.0828049
0.0475828	0.100227
-0.022903	0.0723167
-0.00926151	0.0658693
0.106462	0.0745523
-0.0083251	-0.0130943
0.0152083	0.117329
-0.00150129	0.00258946
0.0532069	0.0361369
0.00242073	0.0121266
-0.014098	-0.0215796
0.00618998	-0.013483
-0.0204109	-0.0275045
0.069386	0.11505
0.0125387	0.0353884
0.0160831	0.013011
-0.0126688	0.0250835
0.0177603	0.0913767
0.000706806	-0.0129015
0.00329988	0.0260168
-0.00403439	0.00641923
-0.021079	0.0907948
-0.0107662	-0.0154884
-0.0207575	0.0939429
-0.00184799	-0.0218679
-0.00236417	-0.0074555
0.0194418	0.0397925
0.0169482	0.0221653
-0.0104511	0.110639
-0.00518529	0.0490133
-0.00455745	0.0366432
0.00205689	-0.00712301
0.00088127	-0.00239003
0.00586676	0.123973
-0.00734006	0.0561085
0.00783262	0.0215852
0.00150427	0.00297165
-0.0167108	0.000981552
0.0287637	0.0239277
-0.0113438	0.033797
0.00553963	0.0742089
0.0106809	0.0820466
0.0126051	0.0951969
0.00434251	0.035723
0.00399306	0.065593
0.000761444	-0.01643
0.0317676	0.0859992
-0.0139534	-0.0218756
-0.011378	0.0847409
0.0761039	0.163089
0.0132802	0.0551846
0.00563722	0.124224
-0.00391301	0.019396
-0.00983466	-0.00600655
-0.000759586	0.00124608
-0.0146911	0.10622
-0.00329225	0.0405761
-0.00607081	-0.014252
-0.01046	0.0249374
-0.0195246	0.0588841
0.0317281	0.124629
-0.00276092	0.0165561
-0.00420466	0.02399
-0.00493143	0.0445256
-0.0075708	0.0709979
-0.00425931	-0.0115728
0.0024447	-0.00454462
0.00510253	-0.0134339
0.00936273	0.087235
-0.00360958	0.0437869
0.00660537	0.0925457
0.0342592	0.103148
0.0338729	0.111004
0.00553514	0.0244282
0.015697	0.0849799
0.0125848	0.107765
0.00411659	-0.00415775
-0.00502169	0.08144
-0.00547885	0.0694684
0.00446281	0.0498429
0.00978752	-0.00378477
-0.00616981	-0.0192826
-0.00372185	0.0368235
-0.0107468	0.0999984
0.0293223	0.0263049
0.070016	0.0363622
-0.000695269	-0.00498796
-0.0054313	-0.0068481
0.0198523	0.0259843
0.0163767	0.0362642
-0.0197802	0.0622891
0.0243849	0.120535
0.088078	0.0826164
-0.0070572	0.0277203
0.00898827	0.0114649
0.0165601	0.0041632
0.05817	0.0253766
0.109167	0.174666
-0.00988566	0.0573072
0.00596592	0.013471
-0.0184296	0.0950098
-0.00234662	-0.0186592
0.0116621	0.0731405
-0.0154517	0.103882
0.0414832	0.13345
-0.0174899	0.0586829
-0.00661668	0.0364841
0.0206042	0.112606
0.183748	0.165488
-0.0140172	-0.0129983
-0.0104603	0.0458014
-0.00309914	-0.00138545
0.00983749	0.0204247
-0.0165682	0.0465313
-0.00140877	-0.012147
-0.00122935	0.000246357
0.0180502	0.115244
0.0571975	0.152908
-0.0109137	-0.0149686
0.0391247	0.0743475
0.0158622	0.042254
-0.00316623	0.0250543
-0.00347504	0.0199769
0.00121019	-0.010609
-0.0319372	0.011349
-0.00734815	0.0026159
0.0021325	0.00281386
-0.00575783	0.114641
-0.0253497	0.0967283
-0.0100722	0.00242657
0.0192951	0.126168
0.00362422	0.0272739
-0.0136182	-0.00451185
-0.0137887	0.0848169
0.0292688	0.13462
-0.00641695	-0.00071604
-0.00963468	0.110095
0.00422935	0.0015434
-0.0153443	0.0462107
-0.00877785	0.0988361
0.00387739	0.0499361
-0.0094281	0.00752653
0.000671187	-0.00498854
-0.00285411	0.0427776
0.0155586	0.117548
0.00832321	0.00473413
0.00178237	-0.00379049
0.00589692	0.0336842
-0.0246127	0.074161
0.00315794	0.00785401
0.0519088	0.0673256
-0.0161159	0.0398843
0.0451622	0.0312934
0.0446212	0.0557863
0.0142608	0.0943539
0.0215148	0.101578
-0.00741591	-0.0243688
-0.0214447	0.0726457
0.00199147	0.00629812
0.0448865	0.0653257
-0.0072103	0.0682066
0.0152317	-0.0073684
-0.0170328	-0.0198505
-0.0194597	0.0848357
0.00100363	-0.00471595
0.00399427	0.0493995
-0.00118052	-0.00565662
-0.00537114	-0.0159261
-0.0291076	0.0966295
0.0147276	0.0340319
-0.0114109	0.0711189
-0.00789996	0.0884811
-0.00569894	0.108409
-0.00448678	-0.00204943
0.056616	0.150939
-0.00550235	0.0370218
0.0209712	0.0122496
0.0385183	0.0944702
-0.00137966	-0.000685973
-0.0135772	0.066884
