MA		MC		MH		la2		la3		la4		la5		laL		m22Squared		
400.102		328.786		407.481		19.952		-86.0197		1.81642		0.0984771		-84.1048		-5.42177e+06		
816.067		517.238		535.647		-146.685		248.18		6.90418		-6.26361		248.821		1.44838e+07		
826.356		462.257		480.474		398.374		487.81		8.03683		-7.46925		488.378		2.9093e+07		
804.672		835.577		645.011		406.109		147.343		-5.50007		-3.82472		138.018		7.52023e+06		
819.674		849.121		771.88		340.671		-432.584		-2.88102		-1.25696		-436.722		-2.76203e+07		
247.358		204.118		186.178		-265.849		399.395		0.206892		-0.438295		399.164		2.40865e+07		
120.151		91.0126		449.065		269.957		-120.541		3.29713		3.09378		-114.15		-7.31123e+06		
948.262		923.83		882.843		409.338		-307.994		-0.467851		-1.97947		-310.442		-2.03455e+07		
552.765		638.154		625.303		409.926		136.948		-1.9487		1.41209		136.411		7.47304e+06		
526.642		526.424		506.531		-448.187		-390.38		-0.335746		-0.343348		-391.059		-2.41785e+07		
345.564		67.4993		107.956		411.757		455.412		2.01528		-1.78068		455.646		2.75506e+07		
574.552		324.904		332.925		-335.238		-87.1275		3.79775		-3.62337		-86.9532		-5.48374e+06		
735.03		687.301		722.706		-95.7825		-485.567		1.94673		-0.296869		-483.918		-3.03294e+07		
262.667		353.598		317.769		229.22		181.739		-1.32348		0.528502		180.944		1.07481e+07		
770.953		767.908		423.751		-338.074		-17.2462		-6.69959		-6.85444		-30.8003		-2.22304e+06		
920.287		921.041		998.975		220.131		158.731		2.44969		2.4956		163.676		7.90914e+06		
235.675		89.5413		150.758		-281.15		134.992		1.02841		-0.542251		135.478		8.15312e+06		
835.947		972.869		925.972		-322.495		-480.058		-5.56411		2.62108		-483.001		-3.09441e+07		
641.88		112.509		117.668		449.9		-129.842		6.61874		-6.57949		-129.803		-7.88286e+06		
141.842		574.677		563.342		172.884		-368.619		-5.33799		4.91167		-369.045		-2.29678e+07		
88.7251		78.5509		277.926		145.796		-312.933		1.20256		1.14632		-310.584		-1.89498e+07		
596.417		465.741		495.787		-127.869		-221.546		2.771		-1.81619		-220.591		-1.38409e+07		
66.0476		28.1244		278.3		373.504		-460.809		1.32579		1.20776		-458.275		-2.78879e+07		
390.384		385.895		516.601		431.351		352.985		2.00686		1.89168		356.884		2.10634e+07		
487.088		472.936		834.46		-433.983		469.288		8.03493		7.5859		484.909		2.79521e+07		
784.365		792.245		168.173		-15.0768		305.864		-10.1096		-9.69903		286.055		1.72543e+07		
240.227		305.61		242.607		360.819		118.351		-1.16048		0.0189946		117.209		6.9753e+06		
