S	T
-0.00616921	0.0971337
-0.0102919	0.0191313
-0.00134872	-0.0216668
-0.022713	0.102134
-0.0164516	0.0873446
-0.00905004	0.105764
-0.00457707	0.0450701
-0.0155565	0.0165978
-0.00496423	0.0491883
-0.0162202	-0.0279942
-0.00218868	0.00407641
-0.0116197	-0.00312365
-0.00322707	-0.00380807
-0.00649119	-0.00719203
0.00609104	-0.00554494
-0.0502163	0.0262695
-0.012963	0.0388722
-0.00655768	-0.000399524
-0.00998704	0.049987
-0.0349397	0.0730213
-0.0159495	0.0079032
-0.00348356	0.0174171
-0.0233964	0.100095
-0.00702119	-0.0137211
-0.00479163	0.0174336
-0.00798	0.0841967
-0.00245585	-0.0228096
-0.0122127	0.00356816
-0.0224144	0.0598349
-0.0168785	0.0458625
-0.0147743	0.0225759
-0.00529309	0.017841
-0.00335155	-0.0200086
-0.00545547	0.0411178
-0.0152237	0.0413738
-0.00513596	0.0256373
-0.004088	0.0261518
-0.00323946	-0.0123734
-0.0214983	0.0257771
-0.0119843	0.106884
-0.00811833	0.0477217
-0.0210537	-0.0156331
-0.00332825	0.0160825
-0.0152257	0.00707649
-0.00795072	-0.00350094
-0.0241163	0.0724024
-0.00362288	0.00954271
-0.00902375	-0.0104108
-0.0172694	0.080827
-0.0186992	0.0483473
-0.00939441	0.0446341
0.0181412	-0.0024899
-0.00772989	0.106467
-0.0121226	0.0294545
-0.0222862	0.0463063
-0.00232585	-0.0138404
-0.00604717	0.0905872
-0.00576572	-0.00900728
-0.00609917	0.0252607
-0.00624154	0.0390551
-0.00299445	0.00364393
-0.00540136	0.0189801
-0.00493149	0.0143216
-0.0259133	0.0841021
0.000294941	-0.000589389
-0.0197105	-0.000841623
-0.00724766	-0.00982269
0.000212079	-0.00379037
-0.0176166	-0.0227692
-0.0105671	0.0216213
-0.0135353	-0.00845896
-0.00534803	0.0133948
-0.00610443	0.0343331
-0.000683871	-0.0107769
-0.020393	-0.00330179
-0.00625915	-0.0211184
-0.0111978	-0.00665417
-0.00876477	0.0589853
-0.0111247	0.0214819
-0.0126907	0.0937192
-0.0105255	0.00566089
0.0188401	-0.00113001
-0.00264131	0.0129169
-0.0109414	0.0273007
-0.000213011	-0.0106041
-0.0168355	0.00675215
-0.0106762	0.112528
-0.0124797	0.0553703
-0.0218984	0.00793398
-0.0147178	0.0835838
-0.0192258	-0.0328704
-0.0162345	0.0252186
-0.00426528	0.0309178
-0.00731401	0.111052
-9.86244e-05	-0.0100283
-0.00479045	0.080728
-0.00241404	0.0171699
-0.0230555	0.0311595
-0.00615241	0.100838
-0.0167567	0.0495352
0.0090306	-0.00601222
-0.01788	0.0849951
-0.00470974	0.0132267
-0.0039135	-0.022711
0.00627076	-0.0153296
-0.00871198	0.0511639
-0.00482768	-0.0124144
-0.000132336	-0.00577241
0.00398554	-0.0021528
-0.00836539	0.0808843
-0.00869267	0.0750921
0.0114558	-0.0010261
-0.0182515	0.0320666
-0.000958394	-0.0175007
-0.0119324	0.0764327
-0.0125786	0.0885612
-0.0130994	0.0844612
-0.0168662	0.0191988
0.000994417	-0.0181303
-0.00577264	0.0813363
-0.00254159	0.0229366
-0.00779837	0.0564636
-0.0193339	0.00440619
-0.0099204	-0.0129583
-0.00515196	0.036602
-0.0135492	0.0475306
-0.0169019	0.0581723
-0.0118419	0.0465984
-2.30213e-05	-0.0130834
-0.023788	0.0162174
-0.00999155	0.0178901
-0.00847585	0.0832987
-0.00109695	-0.0183068
