MA MC MH la2 la3 la4 la5 laL m22Squared 
947.645 944.895 321.06 0.563306 26.7502 -12.9642 -13.1362 0.649684 -166842 
108.801 108.76 15.2473 1.89206 -0.293807 -0.191478 -0.19177 -0.677055 -41437.6 
646.786 658.135 495.949 2.60736 5.64144 -3.33773 -2.84829 -0.544578 -524887 
955.823 955.612 833.121 0.617394 8.95492 -3.61392 -3.62727 1.71373 -1.28447e+06 
586.649 545.715 532.25 1.44786 0.0579832 0.526083 -1.00581 -0.421744 -592102 
437.008 448.09 172.431 1.44702 5.7189 -2.98864 -2.66448 0.0657851 -55484 
394.177 454.031 383.594 0.813596 2.37572 -1.81387 -0.136018 0.425829 -268520 
619.118 618.506 367.954 1.28306 6.86303 -4.07168 -4.09672 -1.30538 -349776 
685.384 685.437 165.073 4.22692 13.4454 -7.31457 -7.31214 -1.18131 -125986 
331.998 339.185 178.135 1.00371 4.48233 -1.45645 -1.29702 1.72886 41159.6 
972.984 977.817 231.66 2.92553 28.8909 -15.0685 -14.7569 -0.934557 -163889 
419.305 416.631 17.0409 3.91723 5.42853 -2.8266 -2.9005 -0.29857 -18649.1 
438.183 459.223 300.745 4.25577 2.79499 -2.30219 -1.67818 -1.18538 -252629 
439.087 285.547 283.209 4.30957 0.139547 1.81655 -1.8605 0.0955986 -154629 
884.294 886.591 123.918 3.78691 24.4434 -12.8025 -12.668 -1.02715 -92870.4 
224.034 247.321 85.9878 2.77048 0.724464 -1.06997 -0.707206 -1.05271 -78493.8 
440.512 461.711 289.747 4.40759 5.62819 -2.45141 -1.81931 1.35746 -85757.9 
948.418 942.846 898.33 0.540906 4.66759 -1.18024 -1.5285 1.95885 -1.49545e+06 
978.07 971.441 875.826 2.05627 4.75018 -2.70509 -3.13222 -1.08713 -1.59993e+06 
640.31 406.37 403.688 2.59963 1.83636 4.0103 -4.08212 1.76454 -219145 
903.598 845.046 840.546 3.34855 1.19334 1.56655 -1.81724 0.942647 -1.35599e+06 
166.417 159.03 64.9253 0.669985 1.49627 -0.308528 -0.387987 0.799758 39967.6 
794.896 802.497 391.359 2.81045 17.4425 -8.31155 -7.91026 1.22068 -232453 
358.318 348.641 282.267 2.71111 0.171185 -0.578947 -0.805024 -1.21279 -232742 
348.095 333.598 299.701 3.45129 0.407422 -0.191424 -0.518033 -0.302035 -197919 
302.329 362.457 279.529 3.4458 2.84583 -1.54028 -0.219227 1.08632 -90532.6 
304.336 298.086 105.669 3.62641 4.31217 -1.22157 -1.346 1.74461 83244.6 
162.265 149.642 27.9581 3.19789 0.315133 -0.29205 -0.422173 -0.399089 -25714.6 
498.515 509.323 89.0054 2.05806 9.47268 -4.33572 -3.97573 1.16123 54428.9 
771.208 726.04 719.909 0.0940639 0.561197 0.971058 -1.264 0.268251 -1.02031e+06 
301.877 296.096 42.3234 2.04813 2.69211 -1.36204 -1.47628 -0.146205 -12430.3 
248.173 259.891 144.301 1.17831 0.162989 -0.870415 -0.67366 -1.38109 -125223 
559.087 550.816 543.191 3.47748 -1.18128 0.0138663 -0.289535 -1.45695 -678282 
403.904 415.601 204.981 2.67193 3.80191 -2.31827 -2.00148 -0.517834 -115372 
677.093 674.78 476.441 0.805229 6.37982 -3.72142 -3.82476 -1.16636 -524576 
452.98 450.21 209.086 2.04723 5.24071 -2.58562 -2.66828 -0.0131944 -88232 
431.404 434.501 269.759 2.71943 5.18047 -1.96151 -1.87288 1.34609 -64080.6 
132.677 143.51 72.7824 1.9571 2.30367 -0.302228 -0.20335 1.7981 98219 
767.815 815.118 751.14 3.6745 4.74318 -2.89315 -0.41855 1.43147 -1.0418e+06 
179.691 212.691 85.3466 2.94544 1.13656 -0.841136 -0.413195 -0.117768 -21695 
709.658 711.716 441.816 1.7678 11.5532 -5.19305 -5.0964 1.26373 -313927 
482.565 473.514 439.493 1.14874 0.109819 -0.370279 -0.656278 -0.916738 -441785 
960.984 956.266 952.827 1.17136 0.46152 0.0409897 -0.257959 0.244551 -1.80096e+06 
602.608 493.136 487.927 3.66955 2.00265 1.89773 -2.06662 1.83375 -365174 
512.756 517.168 28.7693 3.49526 10.085 -4.4811 -4.33094 1.27301 75381.8 
159.869 195.875 104.427 0.0386009 -0.171668 -0.665463 -0.242132 -1.07926 -87122.8 
624.345 624.761 392.757 1.56986 9.43396 -3.90949 -3.89233 1.63214 -209746 
104.432 112.629 22.8613 2.75549 0.69015 -0.230382 -0.171581 0.288187 16394.6 
183.262 148.602 125.377 1.21886 2.06448 0.084925 -0.295221 1.85419 80769.2 
288.803 322.305 202.175 0.64737 0.857 -1.37947 -0.702832 -1.2253 -155899 
921.704 939.318 850.817 3.10524 5.45774 -3.15964 -2.07628 0.22183 -1.43435e+06 
223.596 193.555 161.909 0.713341 -0.545686 0.0211964 -0.392961 -0.917451 -107950 
764.186 797.756 710.461 4.49561 3.97192 -3.0421 -1.30916 -0.379343 -1.03247e+06 
908.282 843.572 831.897 1.53641 -0.111527 1.55005 -2.19652 -0.757991 -1.42998e+06 
993.948 996.637 560.722 3.19153 23.684 -11.3066 -11.1297 1.24778 -553308 
141.469 177.514 68.6439 3.41647 1.74683 -0.63284 -0.252852 0.861142 42688.9 
159.392 203.756 139.196 0.181206 1.04953 -0.632095 -0.0996466 0.317786 -19519.7 
661.331 674.293 507.079 1.46052 8.00804 -3.55039 -2.97821 1.47944 -424729 
265.998 265.766 133.869 2.09539 2.10551 -0.868979 -0.87306 0.363466 -13846.1 
689.467 704.152 581.358 1.07201 6.96756 -2.94661 -2.27029 1.75066 -570010 
500.76 514.891 94.209 0.50215 8.48594 -4.47139 -3.99704 0.0175097 -16691 
831.185 811.431 788.705 0.384211 0.0882707 -0.0647325 -1.1371 -1.11356 -1.3115e+06 
448.055 505.095 401.993 1.59896 3.55045 -2.44381 -0.647021 0.459618 -295383 
892.279 690.988 689.397 3.35172 0.9171 5.23007 -5.30263 0.844545 -899429 
545.124 548.772 362.582 4.1388 5.47504 -2.86993 -2.73804 -0.132929 -270975 
449.652 456.504 70.0919 2.59826 6.65449 -3.46508 -3.25986 -0.0704602 -14089.7 
653.351 650.519 550.645 4.3296 3.56904 -1.92137 -2.04339 -0.395725 -630367 
551.35 369.534 367.955 2.55014 1.36059 2.74748 -2.78596 1.3221 -190774 
625.08 636.422 385.876 2.96457 9.70711 -4.46891 -3.99606 1.24215 -222630 
958.251 969.645 947.518 1.16383 1.49604 -1.064 -0.337998 0.0940381 -1.78989e+06 
380.969 270.974 269.57 0.305428 1.89845 1.17244 -1.19753 1.87336 -31967.8 
458.307 464.825 205.463 3.62856 5.59902 -2.97217 -2.77332 -0.146475 -93294 
563.552 565.365 557.777 0.794119 1.89368 -0.174668 -0.106996 1.61202 -524678 
280.361 304.874 70.3682 1.78633 4.15101 -1.69116 -1.21704 1.2428 65306.1 
957.479 957.691 809.653 3.29178 9.23177 -4.33012 -4.31668 0.584975 -1.27568e+06 
814.942 835.947 808.843 1.0347 1.74244 -1.30969 -0.163643 0.26911 -1.29217e+06 
321.636 216.592 215.171 0.721785 -0.0153652 0.924122 -0.944389 -0.0356321 -94753.9 
478.752 516.395 433.154 0.303979 3.21846 -1.92515 -0.687106 0.606207 -338560 
560.166 561.854 50.3114 2.45867 10.0822 -5.20595 -5.14335 -0.267109 -21226.8 
468.25 465.487 184.809 2.71241 7.45453 -2.9735 -3.05875 1.42228 17761.7 
787.641 805.08 749.471 2.9793 4.80599 -1.8875 -0.969506 1.94898 -1.00547e+06 
992.406 944.981 933.404 3.67849 -0.625846 1.15892 -1.87763 -1.34456 -1.82385e+06 
90.032 82.7116 40.5931 2.61092 -1.28894 -0.0649226 -0.106715 -1.46058 -91683.8 
541.693 538.879 275.292 3.23574 8.55761 -3.49601 -3.59649 1.4651 -62909.7 
254.213 252.977 46.9023 1.2705 3.48277 -1.01081 -1.03154 1.44042 82768.7 
929.956 935.131 712.994 1.48617 11.4219 -6.2093 -5.89031 -0.677712 -1.05773e+06 
475.177 464.847 429.882 1.97919 0.0924402 -0.356499 -0.677423 -0.941482 -426571 
