MA MC MH la2 la3 la4 la5 laL m22Squared 
605.876 495.195 516.665 496.374 498.832 2.3728 -1.65481 499.55 2.96969e+07 
24.9959 619.303 612.521 -254.401 -293.926 -6.46546 6.1894 -294.202 -1.85543e+07 
360.122 426.6 343.24 212.732 -289.998 -1.92467 -0.196217 -292.119 -1.79135e+07 
218.425 216.094 751.657 141.292 -16.6234 8.58126 8.54779 0.50562 -1.09938e+06 
227.452 261.105 100.983 54.0935 -194.448 -1.22976 -0.686378 -196.364 -1.19036e+07 
804.854 708.248 734.158 223.37 -478.688 3.03306 -1.7979 -477.453 -2.99715e+07 
911.345 920.559 620.093 64.1002 -152.148 -7.92834 -7.37052 -167.447 -1.09022e+07 
109.711 67.1469 348.313 121.525 -484.64 2.05468 1.80589 -480.779 -2.93375e+07 
701.528 699.083 617.11 -402.932 141.244 -1.7263 -1.83947 137.679 7.57012e+06 
584.527 605.435 568.655 -471.522 -71.5171 -1.12471 -0.302459 -72.9442 -5.06103e+06 
468.786 473.449 486.645 -9.10905 448.096 0.136742 0.281951 448.515 2.66687e+07 
501.601 198.342 207.383 -374.705 430.857 3.56817 -3.44694 430.978 2.59951e+07 
166.253 142.957 500.714 152.146 313.329 3.92427 3.68621 320.94 1.89205e+07 
120.302 407.8 402.098 308.207 446.995 -2.58521 2.43258 446.843 2.67178e+07 
338.854 776.657 779.024 -40.3829 -170.19 -8.00934 8.13101 -170.068 -1.15056e+07 
740.965 741.1 397.503 138.258 256.73 -6.46806 -6.46143 243.8 1.44378e+07 
111.441 104.41 105.686 113.943 347.419 0.0295098 -0.0206495 347.428 2.10026e+07 
866.973 850.054 848.645 24.1749 360.738 0.440516 -0.519572 360.659 2.03852e+07 
417.515 361.33 469.172 145.206 -97.2381 2.2031 0.756885 -94.2781 -6.14558e+06 
567.952 556.182 642.008 -88.4886 20.0045 1.91798 1.48068 23.4031 591914 
344.773 339.055 24.4113 -136.796 -37.7239 -1.82517 -1.95441 -41.5035 -2.51282e+06 
693.472 781.028 776.614 192.128 252.376 -2.24694 2.01973 252.149 1.40528e+07 
283.254 278.094 20.3449 -303.999 -336.654 -1.22323 -1.31898 -339.196 -2.05276e+07 
939.484 906.082 964.635 127.606 -472.623 2.82867 0.791366 -469.003 -3.02432e+07 
460.444 594.307 558.215 256.821 389.227 -3.02052 1.64578 387.852 2.28481e+07 
330.069 317.497 675.946 298.936 -399.161 6.0189 5.74985 -387.393 -2.43573e+07 
