mh;MH;MA;MC;la2;laL;la1;la3;la4;la5
0.12510000E+03;0.30556019E+03;0.36071488E+03;0.41604313E+03;0.11389100E+01;-0.53886000E-01;0.25860946E+00;0.25809496E+01;-0.20275880E+01;-0.60724756E+00
0.12510000E+03;0.41287636E+03;0.66047845E+03;0.65403838E+03;0.19331530E+01;0.81606900E+00;0.25860946E+00;0.93195826E+01;-0.41118669E+01;-0.43916467E+01
0.12510000E+03;0.81731484E+03;0.88857940E+03;0.84207417E+03;0.35185010E+01;-0.22549900E+00;0.25860946E+00;0.11323355E+01;0.65105240E+00;-0.20088869E+01
0.12510000E+03;0.77026969E+03;0.85252414E+03;0.83326654E+03;0.76956400E+00;-0.79614000E-01;0.25860946E+00;0.32589324E+01;-0.11328152E+01;-0.22057312E+01
0.12510000E+03;0.22064935E+03;0.40220548E+03;0.39292251E+03;0.39528940E+01;0.10072000E-01;0.25860946E+00;0.35034281E+01;-0.16247079E+01;-0.18686482E+01
0.12510000E+03;0.59422098E+03;0.63450054E+03;0.69745335E+03;0.10166700E+01;0.12313770E+01;0.25860946E+00;0.56382314E+01;-0.35890150E+01;-0.81783937E+00
0.12510000E+03;0.23097418E+03;0.41256605E+03;0.44180698E+03;0.63962800E+00;0.88378100E+00;0.25860946E+00;0.55716102E+01;-0.27567419E+01;-0.19310873E+01
0.12510000E+03;0.89953725E+03;0.91631008E+03;0.98950281E+03;0.68994400E+00;0.18725300E+00;0.25860946E+00;0.58039016E+01;-0.51133618E+01;-0.50328686E+00
0.12510000E+03;0.31397138E+03;0.45325575E+03;0.44198459E+03;0.32734460E+01;0.18352300E+01;0.25860946E+00;0.50334702E+01;-0.14323807E+01;-0.17658595E+01
0.12510000E+03;0.68624456E+03;0.68773590E+03;0.76753332E+03;0.24399650E+01;0.12804000E-01;0.25860946E+00;0.39184091E+01;-0.38717452E+01;-0.33859914E-01
0.12510000E+03;0.25162805E+03;0.30408993E+03;0.35994594E+03;0.14801500E+01;0.99366500E+00;0.25860946E+00;0.31829837E+01;-0.17075616E+01;-0.48175706E+00
0.12510000E+03;0.39730686E+03;0.52298869E+03;0.40512294E+03;0.17813100E+00;0.17888790E+01;0.25860946E+00;0.19961581E+01;0.17040241E+01;-0.19113032E+01
0.12510000E+03;0.52590584E+03;0.59205519E+03;0.64610594E+03;0.99369000E+00;0.72015000E-01;0.25860946E+00;0.47278396E+01;-0.34337941E+01;-0.12220305E+01
0.12510000E+03;0.77406680E+03;0.90641578E+03;0.94420000E+03;0.28923560E+01;0.97448000E-01;0.25860946E+00;0.97588342E+01;-0.59861573E+01;-0.36752289E+01
0.12510000E+03;0.47868617E+03;0.51738116E+03;0.57971381E+03;0.51487900E+00;0.52728000E+00;0.25860946E+00;0.40611436E+01;-0.28969607E+01;-0.63690288E+00
0.12510000E+03;0.25452481E+03;0.54633113E+03;0.54019435E+03;0.92090000E-01;-0.30511000E-01;0.25860946E+00;0.74725315E+01;-0.36413394E+01;-0.38617032E+01
0.12510000E+03;0.30940603E+03;0.33134422E+03;0.39999177E+03;0.20618090E+01;0.78260800E+00;0.25860946E+00;0.29063876E+01;-0.18914956E+01;-0.23228401E+00
0.12510000E+03;0.11246260E+03;0.13285810E+03;0.19826196E+03;0.27859110E+01;0.10339680E+01;0.25860946E+00;0.19150563E+01;-0.79840870E+00;-0.82679574E-01
0.12510000E+03;0.74801815E+03;0.83085250E+03;0.76450549E+03;0.24170550E+01;-0.35820500E+00;0.25860946E+00;0.46595698E+00;0.13369973E+01;-0.21611592E+01
0.12510000E+03;0.62115121E+03;0.77390649E+03;0.80772842E+03;0.29109500E+00;0.19982480E+01;0.25860946E+00;0.10809021E+02;-0.52893503E+01;-0.35214231E+01
0.12510000E+03;0.21386717E+03;0.30803293E+03;0.28939157E+03;0.33389760E+01;-0.30214700E+00;0.25860946E+00;0.95399403E+00;-0.44403979E+00;-0.81210124E+00
