mh MH MA MC la2 laL la1 la3 la4 la5 S T U
125.100000 305.560190 360.714880 416.043130 1.138910 -0.053886 0.258609 2.580950 -2.027588 -0.607248 -0.011917 0.108054 0.083760
125.100000 412.876360 660.478450 654.038380 1.933153 0.816069 0.258609 9.319583 -4.111867 -4.391647 -0.009738 -0.027059 0.082742
125.100000 817.314840 888.579400 842.074170 3.518501 -0.225499 0.258609 1.132335 0.651052 -2.008887 0.000669 -0.020435 0.082800
125.100000 770.269690 852.524140 833.266540 0.769564 -0.079614 0.258609 3.258932 -1.132815 -2.205731 -0.001413 -0.021524 0.082796
125.100000 220.649350 402.205480 392.922510 3.952894 0.010072 0.258609 3.503428 -1.624708 -1.868648 -0.011250 -0.027567 0.082551
125.100000 594.220980 634.500540 697.453350 1.016670 1.231377 0.258609 5.638231 -3.589015 -0.817839 -0.006784 0.115275 0.083155
125.100000 230.974180 412.566050 441.806980 0.639628 0.883781 0.258609 5.571610 -2.756742 -1.931087 -0.015799 0.106331 0.083725
125.100000 899.537250 916.310080 989.502810 0.689944 0.187253 0.258609 5.803902 -5.113362 -0.503287 -0.004597 0.116890 0.082993
125.100000 313.971380 453.255750 441.984590 3.273446 1.835230 0.258609 5.033470 -1.432381 -1.765859 -0.007172 -0.025320 0.082640
125.100000 686.244560 687.735900 767.533320 2.439965 0.012804 0.258609 3.918409 -3.871745 -0.033860 -0.005939 0.115122 0.083096
125.100000 251.628050 304.089930 359.945940 1.480150 0.993665 0.258609 3.182984 -1.707562 -0.481757 -0.013926 0.106790 0.084106
125.100000 397.306860 522.988690 405.122940 0.178131 1.788879 0.258609 1.996158 1.704024 -1.911303 0.006910 -0.016234 0.082695
125.100000 525.905840 592.055190 646.105940 0.993690 0.072015 0.258609 4.727840 -3.433794 -1.222031 -0.007715 0.115122 0.083214
125.100000 774.066800 906.415780 944.200000 2.892356 0.097448 0.258609 9.758834 -5.986157 -3.675229 -0.006128 0.113845 0.083009
125.100000 478.686170 517.381160 579.713810 0.514879 0.527280 0.258609 4.061144 -2.896961 -0.636903 -0.008141 0.111647 0.083293
