MA,MC,MH,la2,la3,la4,la5,laL,m22Squared,
749.982,783.45,726.935,1.33643,2.33753,-2.25857,-0.562474,-0.483516,-1.08613e+06,
767.577,774.911,709.735,2.14118,4.29512,-1.78592,-1.41202,1.09718,-941051,
90.707,115.228,72.5133,3.85302,0.16017,-0.215958,-0.049071,-0.104859,-16862,
587.719,588.344,480.952,0.116585,5.01666,-1.90972,-1.88543,1.22151,-388709,
649.389,670.457,591.49,0.61372,3.05852,-2.10618,-1.18722,-0.234876,-713935,
900.28,905.18,805.529,2.93473,6.20199,-2.96319,-2.67081,0.567989,-1.26338e+06,
611.787,617.409,559.786,3.57967,3.93619,-1.23513,-1.00672,1.69434,-524187,
474.172,475.506,388.229,0.89015,2.51135,-1.26663,-1.22476,0.019957,-300235,
548.492,554.585,108.722,1.70673,10.4544,-4.9981,-4.77598,0.680275,17526.5,
381.089,410.603,290.317,2.83809,3.16245,-1.77931,-1.00708,0.376058,-145811,
409.138,439.262,401.283,4.08149,0.241251,-0.949836,-0.10519,-0.813775,-371303,
596.027,631.197,570.106,3.31342,2.32579,-1.92592,-0.499485,-0.0996086,-656070,
214.265,240.493,24.1468,0.947511,1.57302,-1.14318,-0.748998,-0.319156,-20480.2,
475.394,498.155,236.333,1.17617,7.36278,-3.54393,-2.81159,1.00726,-50751.4,
777.57,837.681,756.144,0.296565,5.34717,-3.75186,-0.543015,1.05229,-1.07983e+06,
391.772,396.317,330.439,1.18598,1.04597,-0.850332,-0.731954,-0.536319,-250836,
471.802,518.684,439.006,1.4848,3.95415,-2.02828,-0.493601,1.43228,-298777,
182.199,223.225,128.253,2.60416,1.32627,-0.826451,-0.276747,0.223068,-19398.3,
935.622,977.274,896.658,0.760412,4.67009,-3.81296,-1.17972,-0.322589,-1.62751e+06,
380.698,400.854,168.15,1.89809,4.47109,-2.44832,-1.9277,0.0950737,-50795.4,
948.48,966.886,877.846,0.609424,5.32373,-3.2968,-2.1317,-0.104768,-1.54757e+06,
474.793,486.6,358.297,3.49833,3.14929,-1.97887,-1.60374,-0.433325,-282977,
392.11,420.269,320.268,3.99924,3.8549,-1.60171,-0.845708,1.40748,-119968,
517.878,566.397,443.668,1.80291,5.10557,-2.91778,-1.17913,1.00866,-332643,
521.053,530.812,350.172,1.0973,4.75829,-2.79938,-2.4601,-0.501188,-275570,
466.802,471.18,44.1412,3.16538,6.64542,-3.70429,-3.56858,-0.627449,-41867.6,
327.429,349.944,185.507,1.72896,3.12358,-1.70697,-1.20294,0.213672,-55895.2,
463.41,481.121,415.066,1.07689,3.24445,-1.25462,-0.701781,1.28805,-266613,
494.669,501.336,409.625,1.37821,2.88362,-1.49027,-1.27082,0.12253,-328170,
343.887,408.752,338.148,3.29872,1.68221,-1.67814,-0.0646822,-0.0606068,-232355,
796.003,875.977,793.811,3.22474,4.87687,-4.47675,-0.0575892,0.342532,-1.23954e+06,
910.84,926.133,900.121,1.74845,1.65995,-1.24923,-0.320786,0.0899413,-1.61499e+06,
418.02,426.974,100.143,2.22706,5.26154,-2.97186,-2.72179,-0.432107,-46206.6,
557.875,561.701,116.842,1.67733,10.1861,-5.05882,-4.91725,0.210052,-14592.6,
305.777,331.897,114.313,0.596716,3.35041,-1.87957,-1.3291,0.141742,-17557.3,
565.326,579.035,522.021,3.80335,2.48074,-1.2966,-0.778111,0.40603,-520440,
225.717,262.193,184.282,1.83413,2.34615,-0.868906,-0.280721,1.19652,4488.79,
962.614,979.17,845.062,3.93815,9.81511,-4.57387,-3.51138,1.72986,-1.32358e+06,
545.626,548.985,47.4715,3.55609,10.515,-5.00376,-4.88225,0.629009,33558,
401.866,444.834,364.96,2.80801,2.43939,-1.67003,-0.467652,0.301715,-248133,
195.169,235.969,138.633,3.22324,1.76908,-0.893207,-0.311847,0.564029,-4305.36,
317.964,346.687,290.324,1.79248,2.01152,-0.908767,-0.277826,0.82493,-118654,
694.49,699.105,359.254,3.19669,11.3266,-6.04988,-5.83735,-0.560654,-292055,
596.427,614.916,405.971,2.87012,7.32616,-3.89495,-3.15475,0.276461,-312894,
256.801,303.09,200.385,0.415955,2.10317,-1.28274,-0.426208,0.394219,-56451.8,
878.136,895.849,767.291,1.97752,8.48448,-4.05232,-3.01388,1.41828,-1.09164e+06,
616.338,616.502,447.083,2.17989,6.02629,-2.98094,-2.97424,0.071104,-395464,
775.191,781.339,548.738,2.37902,10.5444,-5.27048,-4.95419,0.319754,-582876,
664.667,675.189,476.898,2.09078,6.96173,-4.00799,-3.54203,-0.588286,-490465,
719.715,720.538,327.73,1.02399,14.7654,-6.82389,-6.78471,1.15685,-144806,
581.189,585.252,553.566,0.403263,2.93766,-0.674586,-0.517976,1.74509,-507265,
922.809,941.053,911.946,2.59063,2.03582,-1.45316,-0.329357,0.253295,-1.64796e+06,
437.813,444.75,437.621,0.356029,0.393139,-0.205097,-0.0027751,0.185267,-371813,
428.063,442.802,208.581,0.605168,4.94249,-2.73322,-2.30901,-0.0997394,-93047.7,
457.056,468.857,239.259,1.25625,6.47974,-2.86717,-2.50603,1.10654,-47526,
327.278,338.103,160.016,3.00411,2.29298,-1.5849,-1.34684,-0.638767,-89866.1,
593.935,606.535,562.28,1.57456,2.03357,-1.10471,-0.604791,0.324064,-612707,
