BP mh MH MA MC la2 laL Omega
0 1.25100000000E+02 1.28062097970E+02 2.49278287760E+02 2.62290254950E+02 2.24756913360E+00 -1.02615037110E-01 1.15000000000E-03
1 1.25100000000E+02 3.13313023880E+02 4.44220803510E+02 4.59307184020E+02 3.69577907820E+00 -8.80531323560E-01 6.36000000000E-04
2 1.25100000000E+02 7.20931110540E+01 4.48051135000E+02 4.53222360260E+02 1.13143078520E+00 8.34799825180E-02 2.17000000000E-01
3 1.25100000000E+02 1.41921502620E+02 3.23074766720E+02 3.30722732380E+02 6.14925250060E-01 1.02116156010E+00 8.00000000000E-05
4 1.25100000000E+02 6.91871383750E+02 7.31218070510E+02 7.79472481290E+02 1.01990163020E+00 4.25929911910E-01 7.37000000000E-04
5 1.25100000000E+02 4.93123441610E+01 2.21843014740E+02 2.24903260870E+02 3.84407169330E+00 -5.95051803340E-01 6.93000000000E-03
6 1.25100000000E+02 8.22489754730E+02 8.96237665800E+02 8.96964004110E+02 2.94818474980E+00 1.59901829380E+00 4.49000000000E-04
7 1.25100000000E+02 4.87056822960E+02 5.06301008510E+02 5.03568368900E+02 3.76335578030E+00 1.97852278930E+00 9.85000000000E-04
8 1.25100000000E+02 5.06225930470E+02 5.35652485890E+02 5.83672307200E+02 1.13256297960E+00 -4.48684951230E-01 1.82000000000E-03
9 1.25100000000E+02 6.06478106000E+02 7.00193185540E+02 6.17519432670E+02 2.90036136530E+00 7.29859902720E-01 1.47000000000E-03
10 1.25100000000E+02 5.15377288470E+02 7.08421357360E+02 7.18050751940E+02 2.65080045120E+00 7.86418055920E-01 1.29000000000E-04
11 1.25100000000E+02 6.05901446890E+02 8.05781916130E+02 8.19478652120E+02 1.82098124500E+00 1.36784568500E-02 1.45000000000E-04
12 1.25100000000E+02 8.52360364640E+01 5.49515203010E+02 5.61646181660E+02 2.18143373920E+00 -5.49594453740E-01 1.62000000000E-03
13 1.25100000000E+02 3.87567369380E+02 3.96411537810E+02 4.01328648460E+02 1.62149495880E+00 4.51004681750E-01 5.97000000000E-03
14 1.25100000000E+02 7.09345314200E+02 7.89738097320E+02 7.17680400980E+02 1.72170157320E+00 7.32579862200E-01 2.09000000000E-03
15 1.25100000000E+02 1.26940027970E+02 3.23243162090E+02 3.22310104250E+02 2.52855600700E+00 1.14243765230E+00 4.80000000000E-05
16 1.25100000000E+02 3.73030379160E+02 4.29042788620E+02 4.00937557700E+02 1.59112008100E+00 -5.50400956190E-01 5.27000000000E-03
17 1.25100000000E+02 4.72390344600E+01 1.69371749430E+02 1.82119839260E+02 2.65765443480E+00 1.38017611980E-01 1.43000000000E-01
18 1.25100000000E+02 2.75660857930E+02 5.76249613220E+02 5.91600757480E+02 2.32652906320E+00 4.36490769690E-01 1.18000000000E-04
19 1.25100000000E+02 1.50597080270E+02 3.39146289900E+02 3.43316752800E+02 2.27528352630E+00 5.41258022760E-01 2.10000000000E-04
20 1.25100000000E+02 2.46232464290E+02 4.02941275140E+02 4.21755955620E+02 4.15895759580E+00 3.36840608120E-01 2.35000000000E-04
21 1.25100000000E+02 5.49812965990E+02 7.10842890130E+02 7.02743262370E+02 2.68154653170E+00 -3.06086100830E-01 2.74000000000E-04
22 1.25100000000E+02 9.13612454820E+02 9.93293955460E+02 9.21300490740E+02 2.93121228890E+00 -7.84426509430E-01 3.68000000000E-03
23 1.25100000000E+02 3.19685639590E+02 6.39178223270E+02 6.47085159540E+02 2.77855340440E+00 1.35603790550E+00 7.00000000000E-05
24 1.25100000000E+02 9.85555279440E+02 9.96769974380E+02 9.99797398210E+02 4.36333721440E-01 7.82051250780E-01 1.31000000000E-02
25 1.25100000000E+02 3.49090366890E+02 6.40392773460E+02 6.43723348720E+02 2.57609510270E-01 4.55298463420E-01 1.04000000000E-04
26 1.25100000000E+02 2.10056178850E+02 3.37975244850E+02 3.71862427940E+02 3.58265197350E+00 -1.79772485660E-01 5.42000000000E-04
27 1.25100000000E+02 1.67487067390E+02 2.85109480460E+02 2.87040251350E+02 3.41038792850E+00 1.29187764190E+00 8.41000000000E-05
28 1.25100000000E+02 7.02525670680E+02 7.41167964200E+02 7.63234989990E+02 1.14191952990E+00 9.30393945010E-01 9.19000000000E-04
29 1.25100000000E+02 1.54036942980E+02 1.80860581690E+02 2.20681414560E+02 1.54960286500E+00 4.79156988260E-01 4.65000000000E-04
30 1.25100000000E+02 6.26738803980E+01 1.31353703830E+02 1.69339562590E+02 7.67994105970E-01 1.86466164540E-01 9.86000000000E-05
31 1.25100000000E+02 2.13553693410E+02 4.29768790840E+02 4.36076990400E+02 2.96100912350E+00 1.86827404190E+00 5.64000000000E-05
32 1.25100000000E+02 4.65935417320E+02 5.27519161400E+02 5.37840686110E+02 2.49134629100E+00 -3.46333762020E-01 1.45000000000E-03
33 1.25100000000E+02 7.13192606390E+02 7.66417584320E+02 7.52811401940E+02 3.35833977920E+00 1.46480708990E-01 2.30000000000E-03
34 1.25100000000E+02 3.73864969340E+02 6.23139671250E+02 6.39653286110E+02 3.38865825510E-01 1.30849025450E+00 8.33000000000E-05
35 1.25100000000E+02 3.53540014810E+02 4.75303777000E+02 4.63772470530E+02 1.07690671560E+00 1.52193071370E+00 1.66000000000E-04
36 1.25100000000E+02 3.51737956000E+02 4.77337364590E+02 4.72529527160E+02 3.00716919900E+00 1.98751417500E+00 1.24000000000E-04
37 1.25100000000E+02 7.03340528880E+02 7.18251949690E+02 7.15514103550E+02 6.22137047540E-01 -2.70407566990E-01 5.11000000000E-02
38 1.25100000000E+02 3.03392149840E+02 4.26208371550E+02 3.05999509250E+02 1.53518986000E+00 -5.59786004020E-01 1.94000000000E-03
39 1.25100000000E+02 4.29725011780E+02 6.14497983010E+02 6.14453943270E+02 3.52601987600E+00 6.17856870050E-01 1.55000000000E-04
40 1.25100000000E+02 1.33580101300E+02 2.34281899560E+02 2.18599451920E+02 7.72038539670E-01 -2.17536723700E-01 1.71000000000E-03
41 1.25100000000E+02 7.11154454770E+02 7.37230229720E+02 8.03965375850E+02 3.41037128650E+00 4.43072349300E-01 7.78000000000E-04
42 1.25100000000E+02 6.64818445020E+01 1.88323142320E+02 1.98115322130E+02 1.48337623480E+00 4.20668338340E-01 2.77000000000E-03
43 1.25100000000E+02 1.36625506960E+02 1.87125449720E+02 2.14651009050E+02 4.06495189460E+00 2.44535989390E-01 6.11000000000E-04
44 1.25100000000E+02 4.22094162920E+02 4.26386265440E+02 4.34182122320E+02 3.57339098720E+00 1.68544153030E+00 1.58000000000E-03
45 1.25100000000E+02 7.92634200610E+02 9.60883519440E+02 9.78596795970E+02 8.56293113800E-01 1.30534822670E+00 1.29000000000E-04
46 1.25100000000E+02 5.78807281630E+02 6.58575949750E+02 7.06821971350E+02 3.38305471490E+00 1.47252333950E+00 2.19000000000E-04
47 1.25100000000E+02 6.24506878460E+02 7.97814299480E+02 8.14106856890E+02 2.51019666480E+00 4.94797884540E-01 1.53000000000E-04
48 1.25100000000E+02 2.11236169310E+02 2.18476491360E+02 2.91214801780E+02 2.49280153770E+00 1.39439212790E+00 2.06000000000E-04
49 1.25100000000E+02 5.37746756000E+02 5.70342574310E+02 6.13681961420E+02 1.24603724580E+00 1.07290246740E+00 5.62000000000E-04
50 1.25100000000E+02 1.26923281760E+02 1.60505368500E+02 1.85273274750E+02 3.14695739150E+00 7.85159573380E-01 1.59000000000E-04
51 1.25100000000E+02 3.95961671420E+02 4.64083344880E+02 4.97430343520E+02 1.83770651460E+00 1.97103180980E+00 1.76000000000E-04
52 1.25100000000E+02 1.99871416940E+02 5.94139615300E+02 5.90231497940E+02 1.85050112140E+00 1.82139369070E+00 4.45000000000E-05
53 1.25100000000E+02 7.54797215960E+02 7.72408600920E+02 8.24102919600E+02 2.78711818630E+00 6.22979623900E-01 1.29000000000E-03
54 1.25100000000E+02 6.40847666990E+02 8.10025312580E+02 8.40760397750E+02 2.45419924120E+00 7.85619062000E-02 1.63000000000E-04
55 1.25100000000E+02 5.45071712430E+02 5.89823271230E+02 5.56663372020E+02 1.48543951740E+00 1.33509077320E+00 1.74000000000E-03
56 1.25100000000E+02 6.75097678000E+02 7.08302529050E+02 7.35387124110E+02 2.52032069470E+00 1.66078469990E+00 6.32000000000E-04
57 1.25100000000E+02 6.91128417380E+02 7.35434736280E+02 7.67822250460E+02 9.43283672340E-01 1.87083759160E+00 4.17000000000E-04
58 1.25100000000E+02 1.89370766740E+02 5.25170196660E+02 5.29016611470E+02 1.11590918990E+00 1.12489623780E+00 8.64000000000E-05
59 1.25100000000E+02 8.91255400860E+02 9.09339356410E+02 9.15711263760E+02 3.90822487740E+00 4.62301036570E-01 7.50000000000E-03
60 1.25100000000E+02 6.01392629040E+02 6.56624973840E+02 6.70487389610E+02 1.48477185870E+00 5.47695816440E-01 7.74000000000E-04
61 1.25100000000E+02 1.57362767390E+02 3.53667968330E+02 3.68548151150E+02 6.94665513870E-01 -3.65095595710E-01 6.93000000000E-04
62 1.25100000000E+02 2.69911190600E+02 3.17127276330E+02 2.92140479750E+02 2.43757613080E+00 -1.37799261650E-01 4.83000000000E-03
63 1.25100000000E+02 1.40158906520E+02 4.46546352250E+02 4.55276696930E+02 3.83324075220E+00 -7.23776892460E-03 4.59000000000E-04
64 1.25100000000E+02 9.19664651570E+01 1.15922219100E+02 1.26528279520E+02 4.00401680750E+00 1.61382937120E-01 9.82000000000E-04
65 1.25100000000E+02 7.71223072860E+02 8.26688703000E+02 8.27807244020E+02 1.36543753460E+00 -3.82098004850E-01 2.08000000000E-03
66 1.25100000000E+02 3.87270449710E+02 4.48704611500E+02 4.38593858980E+02 5.97724793120E-01 5.63554625990E-02 1.42000000000E-03
67 1.25100000000E+02 2.07236462000E+02 2.83589198650E+02 2.66915501020E+02 3.18525419410E+00 1.25438831820E+00 1.80000000000E-04
68 1.25100000000E+02 7.14777874560E+02 8.25282137940E+02 8.41552092060E+02 3.98890547660E+00 1.77512400510E+00 1.95000000000E-04
69 1.25100000000E+02 3.28620927480E+02 3.34250870850E+02 3.76763801050E+02 9.11683980800E-01 1.66380780180E+00 4.83000000000E-04
70 1.25100000000E+02 6.10115694240E+02 7.60799911930E+02 7.81715561850E+02 6.45413523060E-01 5.31013433490E-01 1.80000000000E-04
71 1.25100000000E+02 1.14352192850E+02 4.13079770760E+02 4.29980293360E+02 2.67494033780E+00 4.40361324970E-01 2.50000000000E-04
72 1.25100000000E+02 5.03554017350E+02 5.31182505970E+02 5.84862637730E+02 1.03333582760E+00 -4.78846445960E-01 1.73000000000E-03
73 1.25100000000E+02 6.71472782770E+02 7.16276700000E+02 7.52809404790E+02 1.52827391730E+00 1.83002176030E+00 3.89000000000E-04
74 1.25100000000E+02 5.87210973530E+01 2.55747610380E+02 2.50344636050E+02 3.61318473720E+00 1.94752975390E-01 2.15000000000E-04
75 1.25100000000E+02 7.43489115970E+01 8.27377316420E+01 1.06160693040E+02 2.28826518830E+00 8.53486841250E-01 4.52000000000E-03
76 1.25100000000E+02 7.22350421040E+02 7.87389683480E+02 7.70041543640E+02 2.33667585700E+00 -4.09893258020E-01 2.36000000000E-03
77 1.25100000000E+02 2.10713441120E+02 3.19411571640E+02 3.45741349940E+02 2.34824181690E+00 1.08421683630E+00 1.52000000000E-04
78 1.25100000000E+02 2.39824382360E+02 2.84365417980E+02 2.79481470290E+02 2.29376794500E-02 1.21333296250E+00 2.96000000000E-04
79 1.25100000000E+02 6.20390513040E+02 6.90369263770E+02 6.96267980310E+02 3.88643999080E+00 -7.64034923460E-01 1.50000000000E-03
80 1.25100000000E+02 2.50774747030E+02 3.93821216530E+02 4.01852029980E+02 1.07268743580E+00 1.76876102960E+00 9.19000000000E-05
81 1.25100000000E+02 8.83613658400E+01 1.21799143610E+02 1.56224092960E+02 1.32957952020E-01 3.80505735230E-02 2.20000000000E-03
