BP mh MH MA MC la2 laL Omega
0 1.25100000000E+02 4.80684970150E+02 6.30636725370E+02 6.64437174940E+02 3.93179295220E+00 1.10403738420E+00 1.40000000000E-04
1 1.25100000000E+02 7.99212097540E+01 2.75279250160E+02 2.83632816870E+02 2.05858986120E+00 5.30298436660E-02 6.62000000000E-03
2 1.25100000000E+02 6.01362445540E+02 6.81709818110E+02 6.89972697240E+02 3.90173982100E+00 1.68636864380E-01 6.04000000000E-04
3 1.25100000000E+02 4.65481185240E+02 6.15475497690E+02 6.12790432520E+02 3.54394974690E+00 1.54129714480E+00 1.42000000000E-04
4 1.25100000000E+02 3.55426905920E+02 4.35275388330E+02 4.35409338080E+02 1.13532884290E+00 -3.34609148250E-01 1.19000000000E-03
5 1.25100000000E+02 6.91849785960E+01 3.36645964760E+02 3.40059726540E+02 2.81831327640E+00 5.64506615740E-01 4.01000000000E-03
6 1.25100000000E+02 7.32321489110E+02 7.59378014990E+02 8.06568095710E+02 6.23308676030E-01 5.06314772700E-01 1.06000000000E-03
7 1.25100000000E+02 4.25249784750E+02 4.78255561670E+02 5.18040138250E+02 2.08448340900E+00 1.37382382320E+00 2.86000000000E-04
8 1.25100000000E+02 4.72598922610E+02 4.91642103980E+02 5.41400878980E+02 3.20401719860E+00 -2.75017219640E-01 2.25000000000E-03
9 1.25100000000E+02 2.88069862200E+02 5.75449810530E+02 5.75402426820E+02 3.00046856850E+00 -4.73945665380E-01 2.07000000000E-04
10 1.25100000000E+02 3.75949217890E+01 1.22849340550E+02 1.32261413510E+02 3.05167981590E+00 1.23008687360E-01 4.04000000000E-01
11 1.25100000000E+02 6.53217897240E+02 7.25206455040E+02 7.61213628810E+02 1.94373493180E+00 1.35134135780E+00 2.96000000000E-04
12 1.25100000000E+02 5.90267684830E+02 7.04305073220E+02 7.04584414510E+02 3.95919199180E+00 2.33049785630E-01 3.60000000000E-04
13 1.25100000000E+02 5.24068606480E+02 7.93972294990E+02 7.91241526430E+02 4.88480696210E-01 7.47214640980E-01 8.81000000000E-05
14 1.25100000000E+02 2.64230761200E+02 3.87113319020E+02 3.87488791060E+02 1.93016389540E+00 4.42756618830E-01 2.94000000000E-04
15 1.25100000000E+02 9.39282117910E+02 9.47786226240E+02 9.43661163270E+02 1.67595960740E+00 1.66722688480E-01 8.82000000000E-02
16 1.25100000000E+02 9.03521839080E+02 9.08041887700E+02 9.27430303400E+02 3.21717775930E+00 3.73257234980E-01 1.21000000000E-02
17 1.25100000000E+02 3.14802127680E+02 3.26432966240E+02 3.81444144910E+02 3.23323502840E+00 2.51574681410E-01 1.32000000000E-03
18 1.25100000000E+02 5.95963657090E+02 6.66929584250E+02 5.97789605720E+02 1.67915158550E+00 -1.41827522970E-01 4.21000000000E-03
19 1.25100000000E+02 9.48407926730E+02 9.55379183780E+02 9.77269466650E+02 6.46540686820E-01 1.07722244460E+00 4.90000000000E-03
20 1.25100000000E+02 1.32902348690E+02 1.72403949590E+02 1.43526371490E+02 1.36930091250E+00 -1.62658772550E-01 3.62000000000E-03
21 1.25100000000E+02 2.49829812830E+02 3.76756896240E+02 4.11779924180E+02 2.11024019450E+00 7.17569417310E-01 1.91000000000E-04
22 1.25100000000E+02 4.21369845810E+02 5.49363482460E+02 5.66331368520E+02 1.80884609460E-01 1.80570538330E+00 1.32000000000E-04
23 1.25100000000E+02 6.43009281750E+01 1.76879853820E+02 1.94249825220E+02 2.46201722980E+00 2.67358401280E-01 1.73000000000E-03
24 1.25100000000E+02 7.98422198880E+02 8.48751004760E+02 7.98746727920E+02 3.18495456130E+00 1.01519752240E+00 4.50000000000E-03
25 1.25100000000E+02 7.12075878670E+02 8.45612293810E+02 8.38677757290E+02 2.79533444030E+00 -3.43861448570E-01 3.54000000000E-04
26 1.25100000000E+02 7.91670547610E+02 8.30520963590E+02 8.70209492510E+02 3.88487499490E+00 -8.32762907620E-01 1.81000000000E-03
27 1.25100000000E+02 7.53367639280E+02 8.23546240710E+02 7.57628066320E+02 1.01780538180E+00 1.09912939610E+00 2.41000000000E-03
28 1.25100000000E+02 7.72748234850E+02 8.41716266970E+02 8.73761651570E+02 2.33447406070E-01 3.00961808440E-01 5.23000000000E-04
29 1.25100000000E+02 5.83417070160E+01 1.81678214930E+02 2.05311466150E+02 3.23432460550E+00 -7.14886498840E-01 1.99000000000E-04
30 1.25100000000E+02 3.96938967530E+02 5.49449037110E+02 5.81862433030E+02 6.93696681450E-01 1.69413268680E+00 1.08000000000E-04
31 1.25100000000E+02 3.66100690190E+02 5.86622752450E+02 5.86472673030E+02 2.85537615870E+00 -4.67087160050E-01 2.21000000000E-04
32 1.25100000000E+02 2.08078222420E+02 4.28444888040E+02 4.37185183040E+02 2.61105018610E+00 1.38288358420E+00 8.37000000000E-05
33 1.25100000000E+02 6.79272902860E+02 7.18597021580E+02 7.24011868910E+02 1.03470507770E+00 1.17898286780E+00 1.06000000000E-03
34 1.25100000000E+02 9.08281975640E+01 5.65286595420E+02 5.69970974220E+02 2.07539489210E+00 -3.32436929850E-01 7.04000000000E-02
35 1.25100000000E+02 2.93310483840E+02 4.14265753880E+02 2.96073586890E+02 1.60127776210E+00 1.54479265980E+00 5.45000000000E-04
36 1.25100000000E+02 1.50961825650E+02 1.88727886960E+02 1.95764180960E+02 2.12184644350E+00 -6.75530253320E-01 2.51000000000E-04
37 1.25100000000E+02 3.83037838590E+02 4.39373272020E+02 4.51646701170E+02 2.17727933310E+00 8.81806471870E-02 1.03000000000E-03
38 1.25100000000E+02 4.65172676020E+02 5.93172434640E+02 5.91798080100E+02 6.10419744490E-01 1.24205962040E+00 1.91000000000E-04
39 1.25100000000E+02 6.54919263370E+02 7.59072612090E+02 7.57116763660E+02 3.84316479480E+00 9.07594895650E-01 3.21000000000E-04
40 1.25100000000E+02 2.20081093030E+02 2.50296420050E+02 2.76292316290E+02 2.37847279370E+00 2.71279304890E-01 9.63000000000E-04
41 1.25100000000E+02 8.62951307310E+02 9.06134261110E+02 9.25491704980E+02 3.52945018570E+00 -7.49982228570E-01 2.57000000000E-03
42 1.25100000000E+02 3.48919699350E+02 3.71257834670E+02 4.07802470930E+02 2.04477375160E+00 7.82278151790E-01 6.91000000000E-04
43 1.25100000000E+02 2.39191563570E+02 4.26524769780E+02 4.34168048490E+02 2.61891816180E+00 1.90885041340E-01 2.40000000000E-04
44 1.25100000000E+02 6.00844614080E+02 7.56183561370E+02 7.65490615860E+02 2.17116140350E+00 1.83600700330E+00 1.26000000000E-04
