BP mh MH MA MC la2 laL Omega
0 1.25100000000E+02 3.84894172340E+02 4.90291650230E+02 4.98821306120E+02 1.57866025520E+00 1.85579661510E+00 1.53000000000E-04
1 1.25100000000E+02 3.73919471710E+02 5.55094643990E+02 5.66783835960E+02 8.18617279950E-01 -2.89581916900E-01 2.49000000000E-04
2 1.25100000000E+02 8.11306948500E+02 8.65128443030E+02 8.88170972540E+02 2.96887132950E+00 1.44480881060E+00 5.27000000000E-04
3 1.25100000000E+02 4.61759585160E+02 6.41165479620E+02 6.65898663680E+02 5.78696900200E-01 -3.33938792390E-02 1.83000000000E-04
4 1.25100000000E+02 3.61094066820E+02 6.65489875370E+02 6.69787567060E+02 3.16897450690E+00 1.03327558500E+00 7.90000000000E-05
5 1.25100000000E+02 2.70157692660E+02 5.79910902480E+02 5.95167206970E+02 3.18596252040E+00 1.03392378970E+00 8.56000000000E-05
6 1.25100000000E+02 2.07543790120E+02 2.20087133150E+02 2.69170042080E+02 1.08665088770E+00 5.41645785300E-01 6.34000000000E-04
7 1.25100000000E+02 6.54929705770E+02 6.74147591650E+02 6.62845810790E+02 2.77427337570E+00 1.33556588440E+00 4.35000000000E-03
8 1.25100000000E+02 3.42164868760E+02 3.94112911420E+02 4.17779301460E+02 2.40703239230E+00 1.75140215580E+00 2.17000000000E-04
9 1.25100000000E+02 4.53177082270E+02 5.57128426210E+02 5.53516662070E+02 3.34027319890E-01 7.08808740360E-01 3.28000000000E-04
10 1.25100000000E+02 5.42804460320E+02 5.50748457880E+02 5.48131906530E+02 4.00832261760E+00 8.12945599230E-01 9.63000000000E-03
11 1.25100000000E+02 7.13782132050E+02 7.77330705920E+02 7.55827218560E+02 3.98477703930E+00 -8.73449126350E-01 4.03000000000E-03
12 1.25100000000E+02 1.09811703030E+02 1.18905016870E+02 1.44803044030E+02 1.61286417420E-01 3.87380394320E-01 4.99000000000E-04
13 1.25100000000E+02 2.45366348730E+02 2.90972826240E+02 3.22300271240E+02 2.07073926810E+00 4.73576263210E-01 5.25000000000E-04
14 1.25100000000E+02 3.89833163930E+01 2.24942528210E+02 2.44681716600E+02 3.10209882470E+00 8.58022765650E-01 9.28000000000E-03
15 1.25100000000E+02 6.95654886640E+01 1.17976201000E+02 1.34087040340E+02 7.60833905160E-01 4.45267307870E-01 7.02000000000E-03
16 1.25100000000E+02 5.20978530570E+02 5.71079113950E+02 5.53906129430E+02 1.61231365820E+00 2.27129990910E-01 2.33000000000E-03
17 1.25100000000E+02 8.19608832170E+02 8.76316406190E+02 8.42484273500E+02 1.93753873470E+00 1.80150637670E+00 1.32000000000E-03
18 1.25100000000E+02 3.85696272540E+02 5.20982321630E+02 5.25663202690E+02 3.40984672850E+00 1.14887348850E+00 1.71000000000E-04
19 1.25100000000E+02 6.81530656160E+02 7.85022690200E+02 6.91137606340E+02 2.38698158870E+00 1.71387782230E+00 9.26000000000E-04
20 1.25100000000E+02 4.63730490850E+02 4.89466881620E+02 5.13091223260E+02 3.90142989410E+00 9.86124805520E-01 8.59000000000E-04
21 1.25100000000E+02 2.42673402550E+02 5.75701742110E+02 5.91304299760E+02 2.39312897490E-01 9.78874118730E-02 1.53000000000E-04
22 1.25100000000E+02 1.80002506520E+02 2.82015294020E+02 2.73422068180E+02 3.36980173960E+00 -6.12372707230E-01 6.78000000000E-04
23 1.25100000000E+02 4.58695386100E+02 5.70469186200E+02 6.01652798960E+02 4.71295959780E-01 -1.95239908810E-02 3.35000000000E-04
24 1.25100000000E+02 7.39878831580E+02 7.95608806350E+02 7.77377943370E+02 7.07602241070E-01 1.37258566330E+00 1.02000000000E-03
