BP mh MH MA MC la2 laL Omega
0 1.25100000000E+02 3.72653826600E+02 5.70615565770E+02 5.96632128690E+02 3.07979993330E+00 3.16402123130E-01 1.52000000000E-04
1 1.25100000000E+02 7.18328077620E+02 7.80124361280E+02 7.28452992990E+02 2.27090607130E+00 6.94366364200E-01 2.98000000000E-03
2 1.25100000000E+02 8.37585218460E+02 8.86755170880E+02 8.88504641700E+02 2.53383763200E+00 3.54861133350E-01 1.64000000000E-03
3 1.25100000000E+02 7.88614607190E+02 9.25276261660E+02 9.59675034460E+02 3.40258098660E+00 1.19063883220E+00 1.57000000000E-04
4 1.25100000000E+02 7.00738447990E+02 7.15881361040E+02 7.22732921820E+02 3.90963614130E+00 1.14059305550E+00 3.38000000000E-03
5 1.25100000000E+02 5.43994568340E+02 5.86271522490E+02 5.60090584990E+02 1.35776501810E+00 1.42317530230E+00 1.40000000000E-03
6 1.25100000000E+02 8.92740152170E+02 9.87940639330E+02 8.95877040220E+02 3.14393228110E+00 1.52412838960E+00 1.51000000000E-03
7 1.25100000000E+02 2.95863475110E+02 6.08020964260E+02 6.19630922280E+02 2.71330345360E+00 -2.71117532200E-01 1.59000000000E-04
8 1.25100000000E+02 8.72012304250E+01 1.59093250010E+02 1.46044302880E+02 1.01082310800E-01 3.83799006010E-01 4.77000000000E-04
9 1.25100000000E+02 5.14118613050E+02 7.57680680610E+02 7.55768189840E+02 1.77369036390E+00 1.13739967090E+00 9.08000000000E-05
10 1.25100000000E+02 6.51098336960E+02 8.12863431610E+02 8.26845960420E+02 1.98949680530E+00 1.22753395310E+00 1.39000000000E-04
11 1.25100000000E+02 7.56968890430E+02 8.83206970460E+02 8.87468666680E+02 2.41276478220E+00 1.72036449240E+00 1.86000000000E-04
12 1.25100000000E+02 5.87498077120E+02 6.89869506860E+02 7.03722846030E+02 3.70500562360E+00 1.74446582570E+00 2.02000000000E-04
13 1.25100000000E+02 2.02106168610E+02 4.79995314160E+02 4.84570437340E+02 1.95420602780E+00 1.59112800540E+00 6.20000000000E-05
14 1.25100000000E+02 8.75884166710E+01 1.92164933630E+02 1.81982109950E+02 2.02104496460E+00 7.28600698230E-01 1.98000000000E-04
15 1.25100000000E+02 5.56461784310E+02 7.81747781930E+02 7.84940493650E+02 5.87640549150E-01 1.63037292710E+00 8.64000000000E-05
16 1.25100000000E+02 5.66465382660E+02 7.48526905570E+02 5.68382089820E+02 3.29601971110E+00 -5.96146845720E-01 8.78000000000E-04
17 1.25100000000E+02 7.20014713960E+02 8.17774588260E+02 8.34432534510E+02 3.36764819310E+00 1.37584299170E+00 2.57000000000E-04
18 1.25100000000E+02 2.73624141010E+02 3.42564004950E+02 3.31679268520E+02 3.41207425260E+00 -7.47111407100E-01 1.65000000000E-03
19 1.25100000000E+02 6.16975368550E+02 6.50398147040E+02 7.02343100790E+02 2.26564940180E+00 -7.77684368170E-02 1.07000000000E-03
20 1.25100000000E+02 5.60690077520E+02 5.87205282860E+02 6.46272413680E+02 7.12071389570E-01 4.85974229200E-01 7.76000000000E-04
21 1.25100000000E+02 3.55061575920E+02 5.46520782180E+02 5.63587557120E+02 2.26236351990E+00 1.54297444730E+00 9.65000000000E-05
22 1.25100000000E+02 1.99288697360E+02 4.56631518920E+02 4.70588194420E+02 2.05559915310E+00 1.64082906510E+00 5.89000000000E-05
23 1.25100000000E+02 5.12489768440E+00 3.45856521070E+02 3.40282462580E+02 3.53636272630E+00 3.00339804230E-01 5.20000000000E-01
24 1.25100000000E+02 6.65120114920E+01 1.01593400080E+02 9.68154021240E+01 2.56765140890E+00 -3.19157330480E-01 4.80000000000E-03
25 1.25100000000E+02 6.60498954530E+01 5.50354207040E+02 5.61264642400E+02 3.26676428410E+00 -6.97263629540E-01 8.49000000000E-04
26 1.25100000000E+02 2.08692019110E+02 5.83308362470E+02 5.95133538960E+02 2.47526293440E+00 9.00813097890E-01 9.53000000000E-05
27 1.25100000000E+02 6.48658399600E+02 6.97326464620E+02 6.58858301380E+02 5.42728154960E-01 -3.98482456260E-02 7.27000000000E-03
28 1.25100000000E+02 4.74217487820E+02 7.21062432700E+02 7.28879392740E+02 9.52267213010E-01 1.15494221480E+00 8.73000000000E-05
29 1.25100000000E+02 7.42126354920E+02 7.60279222770E+02 7.96855002540E+02 3.94310716660E+00 -3.99817553760E-02 2.92000000000E-03
30 1.25100000000E+02 5.54050883050E+02 6.42564188960E+02 6.81063083160E+02 5.32164953510E-01 -1.54099072270E-01 4.35000000000E-04
31 1.25100000000E+02 2.53355199910E+02 5.60670700370E+02 5.62289568920E+02 1.34189157920E+00 5.26824660850E-01 1.20000000000E-04
32 1.25100000000E+02 1.02955154400E+02 2.39785712460E+02 2.62932289580E+02 3.91940607410E+00 6.42367813820E-01 1.89000000000E-04
33 1.25100000000E+02 1.73630392890E+02 4.45322550060E+02 4.55230422100E+02 3.94170892630E+00 -3.11232296370E-01 4.69000000000E-04
34 1.25100000000E+02 8.00096183530E+02 8.46798224400E+02 8.23293585740E+02 2.24174038170E+00 1.25681031550E+00 2.01000000000E-03
35 1.25100000000E+02 3.24412917360E+02 4.61514638740E+02 4.62785964030E+02 2.55195316500E+00 1.94613099420E-01 3.08000000000E-04
36 1.25100000000E+02 8.35958397300E+02 8.45804345160E+02 8.71244784030E+02 1.50448024900E+00 5.78717576440E-01 4.59000000000E-03
37 1.25100000000E+02 6.37038979020E+02 8.28492243600E+02 8.31497421130E+02 1.22931234760E-01 1.69782734340E+00 1.05000000000E-04
38 1.25100000000E+02 5.40599553460E+02 5.85535611830E+02 5.48333995670E+02 1.99350240430E+00 1.60416115180E+00 1.64000000000E-03
39 1.25100000000E+02 4.81090311670E+02 7.56523045690E+02 7.54099034580E+02 2.51884530070E+00 2.04085204800E-01 1.03000000000E-04
40 1.25100000000E+02 1.61923834640E+02 2.81074217040E+02 2.99940995170E+02 2.22282747010E+00 1.72335853370E-01 4.45000000000E-04
41 1.25100000000E+02 4.25526496330E+02 4.74025509490E+02 5.24976036630E+02 3.17117136780E+00 -8.75306737460E-01 1.39000000000E-03
42 1.25100000000E+02 5.74586112500E+02 6.67465550480E+02 6.54166656990E+02 3.10013736870E+00 -2.88304898200E-01 8.43000000000E-04
43 1.25100000000E+02 4.94106720560E+02 6.85010779880E+02 7.01306320470E+02 2.27429719060E+00 1.19127619970E+00 1.12000000000E-04
44 1.25100000000E+02 2.78527040220E+02 4.48429551550E+02 4.45733189570E+02 3.62285726470E+00 -8.73817248210E-01 5.10000000000E-04
45 1.25100000000E+02 3.94007200440E+02 5.66737890770E+02 5.87185509000E+02 3.82200661430E+00 1.74096917010E+00 9.94000000000E-05
46 1.25100000000E+02 2.00556272000E+02 2.79815482780E+02 2.75420071710E+02 3.33086624960E+00 -3.53384651700E-01 1.70000000000E-03
47 1.25100000000E+02 7.20820519210E+02 7.24642613570E+02 7.54319024360E+02 1.01288402980E-01 1.80581950570E-01 7.76000000000E-03
48 1.25100000000E+02 4.75459807930E+02 4.78732319450E+02 5.48068488690E+02 4.05628021710E+00 3.42054781940E-01 1.70000000000E-03
49 1.25100000000E+02 4.58317642030E+01 5.95186733520E+01 8.96651260370E+01 3.93045456710E+00 6.39328626430E-01 9.23000000000E-03
50 1.25100000000E+02 3.27966636100E+02 5.47267714290E+02 5.60272583460E+02 1.80323580580E+00 9.72876183450E-01 1.10000000000E-04
51 1.25100000000E+02 4.88653460190E+02 5.41367506410E+02 4.90069103720E+02 2.09087074120E+00 1.84610047650E+00 1.55000000000E-03
52 1.25100000000E+02 1.23441732880E+02 2.36977181220E+02 2.58787209650E+02 3.71671236760E+00 1.35451183490E+00 5.70000000000E-05
53 1.25100000000E+02 7.21856460730E+02 7.41349554310E+02 7.72359952340E+02 2.27505339870E+00 -1.66984673690E-01 3.67000000000E-03
54 1.25100000000E+02 6.10828756930E+02 6.25709316630E+02 6.51041723220E+02 9.95303972930E-01 1.39284062940E+00 1.29000000000E-03
55 1.25100000000E+02 5.49068938500E+02 7.09538048540E+02 7.19001751650E+02 1.01830578370E+00 -3.15907003970E-01 2.44000000000E-04
56 1.25100000000E+02 7.13455937710E+02 8.14870391260E+02 8.12363689440E+02 9.01360901490E-01 1.47972801320E+00 2.80000000000E-04
57 1.25100000000E+02 4.56506160800E+02 5.55104967240E+02 5.43118276290E+02 2.17623767630E+00 2.09722461450E-01 5.37000000000E-04
58 1.25100000000E+02 8.75658415820E+02 9.27135477890E+02 8.93032183330E+02 1.50168477280E+00 1.89574789730E+00 1.73000000000E-03
59 1.25100000000E+02 4.64671351720E+02 5.15992020630E+02 5.32704102550E+02 2.85522892370E+00 2.13315785440E-02 1.18000000000E-03
60 1.25100000000E+02 5.46655599000E+02 6.22393760490E+02 6.05279500240E+02 2.99843108710E+00 -3.12741137800E-02 1.18000000000E-03
61 1.25100000000E+02 7.17313927990E+02 8.68935930550E+02 8.93681292340E+02 2.78024984530E+00 6.19640453620E-01 1.67000000000E-04
62 1.25100000000E+02 3.31765412830E+02 3.95703876800E+02 4.11843973620E+02 4.66841550880E-01 5.77032267750E-01 4.78000000000E-04
63 1.25100000000E+02 5.76343949860E+02 6.80194488550E+02 6.99886604100E+02 1.52522158580E+00 7.93174588540E-01 2.71000000000E-04
64 1.25100000000E+02 5.71033762490E+02 6.58766986040E+02 6.79435879290E+02 9.70499674920E-01 1.58416970500E+00 2.36000000000E-04
65 1.25100000000E+02 3.76624409780E+02 4.16012374580E+02 3.80274979020E+02 3.91607490280E+00 -1.79803826640E-01 1.13000000000E-02
66 1.25100000000E+02 6.40649929720E+02 6.63324900510E+02 7.27789270190E+02 1.36181345980E+00 1.93029421630E-01 9.98000000000E-04
67 1.25100000000E+02 6.88469333150E+02 7.51603816350E+02 7.48735552930E+02 2.17485877550E+00 1.35047444220E+00 5.77000000000E-04
68 1.25100000000E+02 3.18059005570E+02 3.20028835970E+02 3.94720066100E+02 2.19737482930E+00 4.45697959830E-01 1.28000000000E-03
69 1.25100000000E+02 4.49121212400E+02 6.18176098190E+02 4.51496003490E+02 2.86868428550E+00 -1.58820674950E-01 1.01000000000E-03
70 1.25100000000E+02 7.64012467700E+02 8.62999282770E+02 8.54698967080E+02 5.39551049020E-01 8.10457979120E-01 4.04000000000E-04
71 1.25100000000E+02 1.15765368630E+02 1.73636161670E+02 1.86873157970E+02 1.97667033800E+00 -5.25222668610E-01 7.80000000000E-03
72 1.25100000000E+02 5.62850306110E+02 6.09824408070E+02 6.48946917670E+02 3.20449673700E+00 6.72123595700E-01 5.69000000000E-04
73 1.25100000000E+02 3.55886302190E+02 3.82157952420E+02 4.37329820530E+02 3.40618684850E+00 1.51783612560E+00 2.88000000000E-04
74 1.25100000000E+02 1.62877978840E+02 4.27897742370E+02 4.33331307000E+02 3.41405836770E+00 6.52743798900E-01 1.55000000000E-04
75 1.25100000000E+02 7.44037458680E+02 7.56593899910E+02 7.70203964400E+02 1.79382434080E+00 -1.65130284500E-01 1.50000000000E-02
76 1.25100000000E+02 7.35648953620E+02 8.35119088790E+02 8.76283520680E+02 2.00139119410E-02 1.82113681810E+00 1.83000000000E-04
77 1.25100000000E+02 6.53527293290E+02 6.70079100810E+02 6.68356338840E+02 3.07066881470E+00 1.72010502160E+00 2.34000000000E-03
78 1.25100000000E+02 6.44102239800E+02 8.33113827540E+02 8.54810319390E+02 2.83915493820E+00 1.59993934090E+00 1.01000000000E-04
79 1.25100000000E+02 2.14096210150E+02 2.62210752540E+02 3.04676190350E+02 3.36972158240E+00 4.36697493190E-02 8.83000000000E-04
80 1.25100000000E+02 7.50830573580E+02 8.05502497620E+02 8.33413852470E+02 2.43098169490E+00 1.78188167090E+00 3.99000000000E-04
81 1.25100000000E+02 1.52786824890E+02 3.70566703750E+02 3.74400906170E+02 1.00574450990E+00 3.15367140320E-01 2.69000000000E-04
82 1.25100000000E+02 7.83819482270E+02 9.42903353900E+02 9.64769798060E+02 3.96524463290E+00 7.09160061840E-01 1.54000000000E-04
83 1.25100000000E+02 3.67077939700E+02 4.09193260290E+02 3.99959965440E+02 3.65459797920E+00 -1.39047854850E-01 4.25000000000E-03
84 1.25100000000E+02 5.03983307370E+01 1.98963782000E+02 1.98484597150E+02 2.44054314580E+00 -4.24454572640E-01 1.11000000000E-02
85 1.25100000000E+02 1.87114476200E+02 3.96936091120E+02 4.12495240520E+02 4.16215321250E+00 6.90583940980E-01 1.55000000000E-04
86 1.25100000000E+02 4.29998696320E+02 6.19121936600E+02 6.40855237420E+02 3.58756864050E+00 1.70186048100E-01 1.65000000000E-04
87 1.25100000000E+02 3.84479408220E+02 5.86343990970E+02 5.98495290080E+02 3.07686661170E+00 9.64781514530E-01 1.17000000000E-04
88 1.25100000000E+02 2.20182715520E+02 3.16693307620E+02 3.22577779490E+02 1.70189201650E+00 3.99588415630E-01 3.77000000000E-04
89 1.25100000000E+02 8.79188158480E+02 9.65417999610E+02 9.52196235190E+02 3.85329251270E+00 1.56380674440E+00 4.47000000000E-04
90 1.25100000000E+02 4.42315323640E+02 5.24959689650E+02 5.54807228930E+02 2.91244366290E+00 2.14929558480E-01 4.39000000000E-04
91 1.25100000000E+02 4.88007707720E+02 5.23976630330E+02 4.99818586460E+02 2.92747914240E+00 1.77851590280E+00 1.12000000000E-03
92 1.25100000000E+02 7.83377308790E+02 8.45622124600E+02 8.32716786560E+02 1.95901130050E-01 1.37888974710E+00 7.83000000000E-04
93 1.25100000000E+02 1.69095101180E+02 3.14936293720E+02 3.24827868280E+02 1.68294537480E+00 -5.27145425590E-01 6.42000000000E-04
94 1.25100000000E+02 3.03687004050E+02 3.44516172990E+02 3.30936990790E+02 2.80552731090E+00 -8.69797699830E-02 4.48000000000E-03
