BP mh MH MA MC la2 laL Omega
0 1.25100000000E+02 3.38048026350E+02 5.35265409590E+02 5.56599712970E+02 2.41504913360E+00 -6.87501960430E-01 2.85000000000E-04
1 1.25100000000E+02 1.23988678010E+01 4.35655569670E+02 4.39742195410E+02 2.93529984900E+00 1.33104216300E-01 7.48000000000E-01
2 1.25100000000E+02 4.91040900020E+02 5.26182412190E+02 5.89175050830E+02 1.36349126970E+00 1.37590637350E+00 3.33000000000E-04
3 1.25100000000E+02 5.10068786170E+00 1.18540496860E+02 1.26270215280E+02 3.62145973230E+00 5.39709351760E-01 1.81000000000E-01
4 1.25100000000E+02 6.24620260200E+02 7.10387106790E+02 7.31106587970E+02 4.35761507700E-01 -2.96857041360E-01 5.89000000000E-04
5 1.25100000000E+02 2.88462681320E+02 3.72767639310E+02 3.00142598490E+02 1.18599220830E+00 1.27608091170E+00 4.98000000000E-04
6 1.25100000000E+02 5.48377141810E+02 6.05073730730E+02 6.38678922360E+02 1.34902330610E+00 1.63901189540E+00 3.02000000000E-04
7 1.25100000000E+02 8.01203471020E+02 8.19520620470E+02 8.59945818700E+02 4.26333271320E-01 4.99147505980E-02 2.44000000000E-03
8 1.25100000000E+02 6.13480314580E+02 7.26544999940E+02 6.18443020910E+02 3.98136966220E+00 1.27188831420E+00 1.06000000000E-03
9 1.25100000000E+02 4.26577306250E+02 4.58324123050E+02 4.96044550700E+02 1.24388189270E+00 4.95222420910E-01 8.30000000000E-04
10 1.25100000000E+02 3.29043280530E+01 3.37340895530E+02 3.51539051120E+02 3.26813127640E+00 -2.79811471250E-01 1.08000000000E-01
11 1.25100000000E+02 4.51347472410E+02 6.51901515960E+02 6.58790194540E+02 2.51051603330E+00 1.58168015270E+00 9.73000000000E-05
12 1.25100000000E+02 1.34950228890E+02 5.03636722260E+02 5.12930679860E+02 2.08087854090E-01 4.08502360750E-01 2.22000000000E-04
13 1.25100000000E+02 5.14899645100E+02 6.64563172840E+02 6.86536200920E+02 1.82844682360E-01 4.60873672480E-02 2.22000000000E-04
14 1.25100000000E+02 5.04348861410E+02 5.72989570060E+02 5.97268395330E+02 3.35092851660E+00 5.87230218920E-01 4.63000000000E-04
15 1.25100000000E+02 1.56056288900E+02 3.41854051060E+02 1.56302779260E+02 9.76517554920E-02 2.31476764600E-01 1.50000000000E-03
16 1.25100000000E+02 7.78025194850E+02 9.17570508260E+02 9.10218598190E+02 1.85806424810E+00 1.37010707280E+00 1.94000000000E-04
17 1.25100000000E+02 7.38529361470E+02 7.49076212210E+02 8.01095672050E+02 3.75869645460E+00 -7.69397821520E-01 4.14000000000E-03
18 1.25100000000E+02 5.52331776630E+02 7.16465276340E+02 7.48114545850E+02 1.45206333060E-01 1.24062187780E+00 1.23000000000E-04
19 1.25100000000E+02 1.13342265060E+02 2.40072896660E+02 2.67640130970E+02 4.09009886900E+00 7.38263359520E-02 7.36000000000E-04
20 1.25100000000E+02 3.77331608240E+01 1.38157349400E+02 1.64875921950E+02 2.50389343650E+00 -2.01528359860E-01 1.57000000000E-01
21 1.25100000000E+02 1.67108134740E+02 2.83808778750E+02 3.00580534690E+02 2.02949042700E+00 1.22530259520E+00 9.21000000000E-05
22 1.25100000000E+02 2.01148052190E+02 4.37282967820E+02 4.48372245720E+02 9.28165402150E-01 1.26893435410E-01 2.42000000000E-04
23 1.25100000000E+02 7.64427760490E+02 8.49413802650E+02 8.59399198120E+02 5.24211329230E-01 1.47016325920E+00 3.27000000000E-04
24 1.25100000000E+02 2.57272885630E+02 2.69443772290E+02 2.57866532260E+02 1.83639380470E+00 -4.15464128530E-01 8.31000000000E-03
25 1.25100000000E+02 9.53099544680E+02 9.71215218250E+02 9.95199585850E+02 1.02532302770E+00 -2.51162663900E-01 5.89000000000E-03
26 1.25100000000E+02 2.85580007830E+02 3.59777687660E+02 3.00457972100E+02 2.98913295100E+00 1.80548940400E+00 2.86000000000E-04
27 1.25100000000E+02 3.24398537350E+02 3.92135048910E+02 3.34454724710E+02 4.11192410960E-01 1.47656438570E+00 5.93000000000E-04
28 1.25100000000E+02 1.88928565310E+02 5.99335479930E+02 6.04259712470E+02 3.80556396210E+00 -1.77141942760E-01 2.65000000000E-04
29 1.25100000000E+02 3.76199439040E+00 2.53293619050E+02 2.75567302220E+02 3.01622536270E+00 7.35002742830E-01 3.31000000000E-01
30 1.25100000000E+02 1.04725428950E+02 2.33822540240E+02 2.56180354710E+02 1.50532683400E+00 -5.23191584540E-01 1.38000000000E-02
31 1.25100000000E+02 2.49394164250E+02 4.64184098760E+02 4.88405914770E+02 1.37057911140E+00 7.18330360760E-01 1.33000000000E-04
32 1.25100000000E+02 3.79193076220E+02 4.03169931800E+02 4.49495345680E+02 3.93214016440E+00 5.51627550190E-01 7.81000000000E-04
33 1.25100000000E+02 2.34293298270E+02 2.77700564690E+02 2.81589282130E+02 8.50384218550E-01 -9.15333501550E-02 2.44000000000E-03
34 1.25100000000E+02 7.07282545140E+02 7.56964259820E+02 7.35696672890E+02 4.04364635380E+00 -6.52072831430E-01 7.49000000000E-03
35 1.25100000000E+02 2.01122955810E+02 4.41122690380E+02 4.43261918310E+02 2.74014794750E+00 5.55076065220E-01 1.61000000000E-04
36 1.25100000000E+02 6.82141199350E+02 8.27130747010E+02 6.83895805130E+02 2.03805524220E+00 1.00910289090E+00 8.99000000000E-04
37 1.25100000000E+02 1.57126984490E+02 1.70551489690E+02 2.23369184630E+02 4.00239565050E+00 -6.93413647000E-01 2.85000000000E-04
38 1.25100000000E+02 1.49506522020E+02 4.39142689780E+02 4.40144649780E+02 2.75126643680E+00 -2.40350256430E-01 6.03000000000E-04
39 1.25100000000E+02 4.06790376370E+02 5.15518138750E+02 5.19406343980E+02 3.31259698250E+00 2.05909723290E-01 3.96000000000E-04
40 1.25100000000E+02 3.05244983250E+02 4.68173350290E+02 3.09726578990E+02 7.15292975640E-01 8.14679596820E-01 6.63000000000E-04
41 1.25100000000E+02 5.07569146450E+02 6.65337226100E+02 6.86648588240E+02 1.25045656670E+00 3.70074731990E-01 1.83000000000E-04
42 1.25100000000E+02 8.49034951250E+02 9.45359800020E+02 9.62858701140E+02 1.46084624320E+00 1.56466031150E+00 2.61000000000E-04
43 1.25100000000E+02 2.49494997770E+02 3.75405362640E+02 2.55074505620E+02 2.22450494140E+00 1.81906138810E+00 2.63000000000E-04
