BP mh MH MA MC la2 laL Omega
0 1.25100000000E+02 7.87600384230E+02 8.72582208520E+02 8.81578341120E+02 3.06063578190E+00 8.11246216690E-01 4.26000000000E-04
1 1.25100000000E+02 6.39536225300E+02 6.83879817180E+02 7.16827128550E+02 1.82034899060E+00 -6.38660160200E-01 1.69000000000E-03
2 1.25100000000E+02 7.15473090310E+02 7.36663832710E+02 7.86770560360E+02 2.59770869390E+00 8.02022294200E-01 1.02000000000E-03
3 1.25100000000E+02 8.44889831900E+02 9.09762721140E+02 9.13385108600E+02 2.91595317560E-02 5.06488724990E-01 8.56000000000E-04
4 1.25100000000E+02 8.22430611540E+02 8.86507110430E+02 8.83036755700E+02 1.29958454910E+00 1.58282537620E+00 5.99000000000E-04
5 1.25100000000E+02 6.17278382470E+02 7.03461326430E+02 7.27294196060E+02 4.54570326870E-02 7.21193255950E-01 3.45000000000E-04
6 1.25100000000E+02 6.76878239350E+02 8.16989657180E+02 8.50395452090E+02 3.72036978490E-01 5.19137492960E-01 1.82000000000E-04
7 1.25100000000E+02 7.76644197680E+02 8.25969430410E+02 7.94925381980E+02 3.57785231840E+00 -2.35066333580E-01 7.14000000000E-03
8 1.25100000000E+02 8.76649484650E+02 9.85646292770E+02 8.84358557430E+02 2.31964107060E+00 1.05135562250E+00 1.29000000000E-03
9 1.25100000000E+02 7.77251819190E+02 9.38911417030E+02 9.63294093290E+02 6.92243699650E-01 9.65805651630E-01 1.41000000000E-04
10 1.25100000000E+02 6.09633743380E+02 6.81993427820E+02 6.99134232150E+02 2.82810546810E+00 -5.10658447740E-01 9.58000000000E-04
11 1.25100000000E+02 6.62979966670E+02 7.19220680590E+02 7.51492209880E+02 9.89427186180E-01 1.61350343540E+00 3.58000000000E-04
12 1.25100000000E+02 6.50056391820E+02 6.86540733250E+02 7.15219819950E+02 2.40773127100E+00 -6.70101461160E-01 2.64000000000E-03
13 1.25100000000E+02 7.24841124630E+02 8.54404284930E+02 8.45362859220E+02 2.21594391140E+00 5.88870394650E-01 2.75000000000E-04
14 1.25100000000E+02 8.60044356790E+02 8.95270498170E+02 9.02112333180E+02 2.91924254920E+00 8.88457376230E-02 3.28000000000E-03
15 1.25100000000E+02 6.45346132390E+02 7.09616691740E+02 6.83586763890E+02 8.91017756530E-01 1.33347838930E+00 8.06000000000E-04
16 1.25100000000E+02 9.09446677600E+02 9.18284724510E+02 9.85705738440E+02 2.17277517990E+00 1.67407733910E+00 9.44000000000E-04
17 1.25100000000E+02 7.51907185050E+02 7.71669979270E+02 7.76431062330E+02 6.51671306760E-01 7.50174495860E-01 4.46000000000E-03
18 1.25100000000E+02 7.68956415620E+02 7.84941502780E+02 7.93990660570E+02 6.34513480750E-01 1.66846592280E+00 2.24000000000E-03
19 1.25100000000E+02 7.82645188330E+02 9.46448601910E+02 9.69708544030E+02 3.19962525660E+00 2.16660573950E-01 1.64000000000E-04
20 1.25100000000E+02 9.05715804130E+02 9.50438376330E+02 9.64247766380E+02 2.56283374470E+00 1.19127590570E+00 9.71000000000E-04
21 1.25100000000E+02 8.62991543080E+02 8.83727157690E+02 9.53396921040E+02 6.24008909750E-01 1.84247711470E+00 5.56000000000E-04
22 1.25100000000E+02 6.00312694580E+02 6.59891804100E+02 6.29475179510E+02 3.05239752690E+00 1.10226028460E+00 1.12000000000E-03
23 1.25100000000E+02 7.62859269960E+02 8.55855760900E+02 8.85974389460E+02 2.19304414260E+00 2.41174036950E-01 3.58000000000E-04
24 1.25100000000E+02 6.99088965060E+02 7.08223745660E+02 7.65486644740E+02 7.23958389640E-01 -3.75476868210E-01 3.01000000000E-03
25 1.25100000000E+02 6.94817890510E+02 7.20272788290E+02 7.84218356530E+02 2.97297569540E+00 2.66869329870E-01 9.04000000000E-04
26 1.25100000000E+02 9.02164449240E+02 9.71234046440E+02 9.21047956540E+02 3.77663780500E+00 2.31986771120E-01 3.02000000000E-03
27 1.25100000000E+02 7.30864261730E+02 7.89732013820E+02 8.44191797100E+02 1.32827802760E+00 3.74374881630E-01 4.55000000000E-04
28 1.25100000000E+02 8.79868514040E+02 9.37487984940E+02 9.39518538970E+02 3.29859203400E-01 -1.25763370870E-01 1.59000000000E-03
29 1.25100000000E+02 6.88530323660E+02 7.83044178060E+02 7.77132463340E+02 1.78485985270E+00 -1.57230966580E-01 6.49000000000E-04
30 1.25100000000E+02 6.15150289600E+02 8.10203392570E+02 8.07333558430E+02 3.48050546930E+00 1.00005378910E+00 1.25000000000E-04
31 1.25100000000E+02 6.15227785260E+02 6.54877355410E+02 6.68326236220E+02 2.72228643260E-01 -1.26570668730E-01 2.32000000000E-03
32 1.25100000000E+02 7.41680524610E+02 8.20685881480E+02 8.47078196260E+02 9.37354799920E-01 -3.74943182800E-01 6.19000000000E-04
33 1.25100000000E+02 8.14752204620E+02 8.50880643640E+02 8.49803689960E+02 1.17153295500E+00 -1.22284071600E-01 5.03000000000E-03
