mh MH MA MC la2 laL la1 la3 la4 la5 S T U
125.100000 649.931672 655.469604 735.114713 1.073600 0.271570 0.258609 4.170786 -3.779756 -0.119460 -0.006372 0.124975 0.000293
125.100000 141.582925 156.439075 296.476029 3.697769 0.703771 0.258609 2.946229 -2.169297 -0.073162 -0.037554 0.390713 0.010018
125.100000 41.856687 323.496247 536.250567 2.263984 0.652019 0.258609 10.097874 -7.745514 -1.700341 -0.048630 1.652943 0.015840
125.100000 22.558399 122.141955 234.639763 1.747416 0.580103 0.258609 2.382831 -1.564613 -0.238115 -0.059077 0.383099 0.023171
125.100000 104.642960 156.077617 199.305533 0.775593 0.000695 0.258609 0.951602 -0.729312 -0.221596 -0.023400 0.073948 0.003422
125.100000 204.570495 263.563427 535.501385 3.535096 -0.772430 0.258609 7.321716 -7.637793 -0.456352 -0.044080 1.601369 0.013680
125.100000 126.033584 189.872111 356.695511 4.025695 -0.653177 0.258609 3.026749 -3.346677 -0.333250 -0.043510 0.681617 0.013214
125.100000 221.559652 372.592909 433.797966 1.994648 1.283579 0.258609 5.880446 -3.114006 -1.482861 -0.019342 0.233319 0.002067
125.100000 484.042235 528.592146 652.406431 3.946645 0.370580 0.258609 6.694106 -5.578058 -0.745469 -0.013520 0.382820 0.001324
125.100000 289.521383 534.369199 617.170036 1.150349 -0.008829 0.258609 9.809276 -6.484643 -3.333462 -0.020193 0.483584 0.002154
125.100000 310.980000 553.740687 636.299927 2.831056 0.787531 0.258609 10.972244 -6.715875 -3.468838 -0.019384 0.480293 0.001980
125.100000 212.881246 310.787161 584.593581 3.746560 0.695852 0.258609 10.492641 -8.949571 -0.847218 -0.042396 1.806495 0.012644
125.100000 273.588975 432.160948 457.782158 2.774761 -0.296725 0.258609 4.155439 -2.602865 -1.849299 -0.013214 0.085348 0.000598
125.100000 509.271259 600.600225 738.636190 1.285782 1.164290 0.258609 10.623811 -7.784536 -1.674985 -0.015146 0.580072 0.001615
125.100000 142.431572 307.558528 633.802759 3.667970 -0.334985 0.258609 12.270580 -11.377700 -1.227865 -0.053253 2.747785 0.019365
125.100000 337.476422 374.150482 684.160615 2.231278 0.663552 0.258609 12.369065 -11.274251 -0.431262 -0.034831 1.939876 0.008754
125.100000 148.719400 274.192547 443.819745 1.770544 -0.551793 0.258609 5.227125 -4.902058 -0.876861 -0.038456 0.880999 0.010219
125.100000 248.268327 389.651527 467.362583 3.181392 -0.490133 0.258609 4.691658 -3.691422 -1.490369 -0.019733 0.307182 0.002349
125.100000 0.282452 18.380604 255.185990 1.972518 -0.217763 0.258609 1.934388 -2.146570 -0.005581 -0.133723 0.875609 0.088448
125.100000 24.563546 166.690106 519.324656 0.956893 0.367467 0.258609 9.260809 -8.444167 -0.449174 -0.083357 2.736986 0.043200
125.100000 574.183075 603.963881 646.360693 3.825431 -0.417158 0.258609 2.494335 -2.331709 -0.579783 -0.004993 0.056374 0.000160
125.100000 62.079661 224.578720 425.041972 4.146152 -0.703565 0.258609 5.139742 -5.073565 -0.769742 -0.053669 1.202339 0.019453
125.100000 345.402087 539.873723 625.870332 3.740401 0.473229 0.258609 9.476173 -6.158059 -2.844885 -0.017739 0.435691 0.001790
125.100000 162.847380 375.752772 484.532809 1.949162 1.109555 0.258609 7.992124 -4.987684 -1.894885 -0.029017 0.609161 0.005173
125.100000 194.771296 477.437234 483.449670 1.954110 0.078681 0.258609 6.549291 -3.330772 -3.139838 -0.016718 0.030140 0.000208
125.100000 230.867673 399.384994 553.634710 3.327296 1.782573 0.258609 10.150989 -6.613367 -1.755048 -0.029003 0.887058 0.005661
125.100000 4.195174 136.320853 232.909500 1.216267 -0.392407 0.258609 1.399821 -1.485437 -0.306791 -0.053866 0.331074 0.019232
125.100000 320.427264 527.849185 633.644241 1.837335 1.625945 0.258609 11.502057 -6.968598 -2.907514 -0.020486 0.595655 0.002511
125.100000 661.153933 853.572925 896.079189 2.734699 0.236448 0.258609 12.326916 -7.274185 -4.816284 -0.008713 0.182858 0.000306
125.100000 299.546538 394.144254 571.347917 2.443821 0.982496 0.258609 8.805562 -6.738698 -1.084367 -0.026387 0.872755 0.004952
125.100000 88.051003 232.594724 585.113589 2.819617 0.074610 0.258609 11.133006 -10.292527 -0.765869 -0.066317 2.921936 0.028994
125.100000 165.571981 169.425217 399.641574 2.610850 1.064642 0.258609 5.437016 -4.351044 -0.021330 -0.046977 0.959193 0.015442
125.100000 164.286397 279.208085 304.810155 1.971103 1.236407 0.258609 3.414978 -1.336362 -0.842209 -0.016329 0.064659 0.001098
125.100000 407.372339 518.858216 537.517992 0.498101 0.601502 0.258609 4.665663 -2.357808 -1.706352 -0.007800 0.044505 0.000194
